Temperature ( K ),density ( kg/m 3 ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,,
193.495,899.92,0.38,Liquid-Gas,Experimental,NIST,Authors: Archibald, E. H.;Ure, W. Title: The density and viscosity of acetone at low temperatures Citation: J. Chem. Soc.,1924,125,726,,,,,,,,,,
195.145,900,8,Liquid-Gas,Experimental,NIST,Authors: Stern, O. Title: The kinetic theory of osmotic pressure of concentrated solutions and the validity of henry's law for concentrated solutions of carbon dioxide in organic solvents at low temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1913,81, 441-76,,,,,,,,,,
196.635,895.05,0.5,Liquid-Gas,Experimental,NIST,Authors: Timmermans, J. Title: New research on the density of liquids below zero Citation: Bull. Soc. Chim. Belg.,1907,21,395,,,,,,,,,,,
200.095,917,6,Liquid-Gas,Experimental - Rejected,NIST,Authors: Jaeger, F. M. Title: Uber die Temperaturabhangigkeit der molekuran freien uberflackenenergie von flussigkeiten im temperaturbereich von -80 bis +1650 C Citation: Z. Anorg. Allg. Chem.,1917,101, 1-214,,,,,,,,,,,
218.09208,870.2,4.5,Liquid-Gas,Experimental - Rejected,NIST,Authors: Shakhova, S. F.;Braude, G. E. Title: Phase equilibria and volume relations in the systems acetone + acetylene hydrocarbons Citation: Khim. Prom-st. (Moscow),1963, , 436-40,,,,,,,,,,
223.058695,866.865671642,1.29382936066,Liquid-Gas,Experimental - Rejected,NIST,Authors: Hicks, P. J.;Prausnitz, J. M. Title: Solubility of acetone and isopropyl ether in compressed nitrogen, methane and carbon dioxide Citation: J. Chem. Eng. Data,1981,26, 74-80,,,,,,,,,
223.08808,868,0,Liquid-Gas,Experimental,NIST,Authors: Sears, P.G.;Wilhoit, E.D.;Dawson, L.R. Title: Conductances of potassiuim thiocyanate and tetra-n-butylammonium iodide in acetone at several temperatures within the range 25 to -50 Citation: J. Phys. Chem.,1956,60, 169-171,,,,,,,,,
233.057695,856.637168142,1.26347664918,Liquid-Gas,Experimental,NIST,Authors: Hicks, P. J.;Prausnitz, J. M. Title: Solubility of acetone and isopropyl ether in compressed nitrogen, methane and carbon dioxide Citation: J. Chem. Eng. Data,1981,26, 74-80,,,,,,,,,
233.08206,854.1,4.3,Liquid-Gas,Experimental - Rejected,NIST,Authors: Shakhova, S. F.;Braude, G. E. Title: Phase equilibria and volume relations in the systems acetone + acetylene hydrocarbons Citation: Khim. Prom-st. (Moscow),1963, , 436-40,,,,,,,,,,
233.157685,856.8,0.3,Liquid-Gas,Experimental,NIST,Authors: Terent'eva, A. A.;Krumgal'z, B. S.;Gerzhberg, Yu. I. Title: Density and viscosity of acetone and methyl ethyl ketone at temp. below 0. Citation: Zh. Prikl. Khim. (Leningrad),1973,46,1143,,,,,,,,,
233.182,857.46,0.3715,Liquid-Gas,Experimental,NIST,Authors: Archibald, E. H.;Ure, W. Title: The density and viscosity of acetone at low temperatures Citation: J. Chem. Soc.,1924,125,726,,,,,,,,,,
234.820688,855.88,0.97,Liquid-Gas,Experimental,NIST,Authors: Felsing, W. A.;Durban, S. A. Title: The vapor pressures, densities, and some derived quantities for acetone Citation: J. Am. Chem. Soc.,1926,48,2885,,,,,,,,
248.07008,838.7,4.1,Liquid-Gas,Experimental - Rejected,NIST,Authors: Shakhova, S. F.;Braude, G. E. Title: Phase equilibria and volume relations in the systems acetone + acetylene hydrocarbons Citation: Khim. Prom-st. (Moscow),1963, , 436-40,,,,,,,,,,
253.6656,845,5,Liquid-Gas,Experimental - Rejected,NIST,Authors: Jaeger, F. M. Title: Uber die Temperaturabhangigkeit der molekuran freien uberflackenenergie von flussigkeiten im temperaturbereich von -80 bis +1650 C Citation: Z. Anorg. Allg. Chem.,1917,101, 1-214,,,,,,,,,,,
259.6608,835,1.5,Liquid-Gas,Experimental - Rejected,NIST,Authors: Faust, O. Title: The Viscosity of Liquid Mixtures, their dependence on Temperature and the relation between the Viscosity of Liquids with their Vapor Pressures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1912,79,97,,,,,,,,,
263.05808,825,0,Liquid-Gas,Experimental,NIST,Authors: Sears, P.G.;Wilhoit, E.D.;Dawson, L.R. Title: Conductances of potassiuim thiocyanate and tetra-n-butylammonium iodide in acetone at several temperatures within the range 25 to -50 Citation: J. Phys. Chem.,1956,60, 169-171,,,,,,,,,
263.05808,823.1,4,Liquid-Gas,Experimental,NIST,Authors: Shakhova, S. F.;Braude, G. E. Title: Phase equilibria and volume relations in the systems acetone + acetylene hydrocarbons Citation: Khim. Prom-st. (Moscow),1963, , 436-40,,,,,,,,,,
263.15,825.12,0.74,Liquid-Gas,Experimental,NIST,Authors: Wu, L.;Wang, C.;Hu, X.;Li, H.;Han, S.-J. Title: (Vapour + liquid) equilibria for (2-ethoxypropene + acetone) and (2-ethoxypropene + butanone) Citation: J. Chem. Thermodyn.,2006,38, 889-892,,,,,,,
267.1548,820.67,0.58,Liquid-Gas,Experimental,NIST,Authors: Felsing, W. A.;Durban, S. A. Title: The vapor pressures, densities, and some derived quantities for acetone Citation: J. Am. Chem. Soc.,1926,48,2885,,,,,,,,
273.100015873,812.307692308,1.13609467456,Liquid-Gas,Experimental,NIST,Authors: Hicks, P. J.;Prausnitz, J. M. Title: Solubility of acetone and isopropyl ether in compressed nitrogen, methane and carbon dioxide Citation: J. Chem. Eng. Data,1981,26, 74-80,,,,,,,,,
273.100015873,815.647648889,0.531896632046,Liquid-Gas,Experimental - Rejected,NIST,Authors: Gupta, A. C.;Hanks, R. W. Title: Liquid phase pvt data for binary mixtures of toluene with nitroethane and acetone, and benzene with acetonitrile, nitromethane, and ethanol Citation: Thermochim. Acta,1977,21, 143-152 (Derived),,,,,,,
273.15,813.98,0.3628,Liquid-Gas,Experimental,NIST,Authors: Archibald, E. H.;Ure, W. Title: The density and viscosity of acetone at low temperatures Citation: J. Chem. Soc.,1924,125,726,,,,,,,,,,
273.15,814.4,2,Liquid-Gas,Experimental,NIST,Authors: Kopp, H. Title: Specific volumes of liquid compounds Citation: Justus Liebigs Ann. Chem.,1854,92, 1-32,,,,,,,,,,,
273.15,812.5,0.3,Liquid-Gas,Experimental,NIST,Authors: Terent'eva, A. A.;Krumgal'z, B. S.;Gerzhberg, Yu. I. Title: Density and viscosity of acetone and methyl ethyl ketone at temp. below 0. Citation: Zh. Prikl. Khim. (Leningrad),1973,46,1143,,,,,,,,,
273.15,812.46,0.2,Liquid-Gas,Experimental,NIST,Authors: Timmermans, J. Citation: Bull. Soc. Chim. Belg.,1912,26,205,,,,,,,,,,,
273.15,815,1.5,Liquid-Gas,Experimental - Rejected,NIST,Authors: Faust, O. Title: The Viscosity of Liquid Mixtures, their dependence on Temperature and the relation between the Viscosity of Liquids with their Vapor Pressures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1912,79,97,,,,,,,,,
273.15,817.9,1,Liquid-Gas,Experimental - Rejected,NIST,Authors: Pribram;Handl Citation: Monatsh. Chem.,1881,2,643,,,,,,,,,,,,
273.15,809.5,0.5,Liquid-Gas,Experimental - Rejected,NIST,Authors: Walden, P. Title: Organic solution and ionization media: III viscosity and its relationship to conductivity Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1906,55,207,,,,,,,,,,
273.15,817.77,0.88,Liquid-Gas,Experimental - Rejected,NIST,Authors: Wu, L.;Wang, C.;Hu, X.;Li, H.;Han, S.-J. Title: (Vapour + liquid) equilibria for (2-ethoxypropene + acetone) and (2-ethoxypropene + butanone) Citation: J. Chem. Thermodyn.,2006,38, 889-892,,,,,,,
273.15019988,790.53,0.3,Liquid-Gas,Experimental - Rejected,NIST,Authors: Young, W. G. Title: The Specific Gravity of Acetone-Water Mixtures Citation: J. Soc. Chem. Ind. (London),1933,52,449,,,,,,,,,,,
273.154997,736,0.5,Liquid-Gas,Experimental - Rejected,NIST,Authors: Faust, O. Title: The Viscosity of Liquid Mixtures, their dependence on Temperature and the relation between the Viscosity of Liquids with their Vapor Pressures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1912,79,97,,,,,,,,,
273.159994,811,1.5,Liquid-Gas,Experimental - Rejected,NIST,Authors: Faust, O. Title: The Viscosity of Liquid Mixtures, their dependence on Temperature and the relation between the Viscosity of Liquids with their Vapor Pressures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1912,79,97,,,,,,,,,
273.24994,818,5,Liquid-Gas,Experimental - Rejected,NIST,Authors: Jaeger, F. M. Title: Uber die Temperaturabhangigkeit der molekuran freien uberflackenenergie von flussigkeiten im temperaturbereich von -80 bis +1650 C Citation: Z. Anorg. Allg. Chem.,1917,101, 1-214,,,,,,,,,,,
277.1476,808.134,0.25,Liquid-Gas,Experimental,NIST,Authors: Squibb, E. R. Title: Improvement in the Manufacture of Acetone. Citation: J. Am. Chem. Soc.,1895,17, 187-201,,,,,,,,,,,
283.09403,804.181745074,1.22874573031,Liquid-Gas,Experimental - Rejected,NIST,Authors: Bingham, E. C.;Brown, D. F. Title: The Mixture Law Citation: J. Rheol.,1932,3, 95-112,,,,,,,,,,
283.09807,803.652968037,0.444805849197,Liquid-Gas,Experimental - Rejected,NIST,Authors: Costas, M.;Patterson, D. Title: Heat capacities of water + organic solvent mixtures Citation: J. Chem. Soc., Faraday Trans. 1,1985,81,2381,,,,,,,,,
283.15,802.6,1.6,Liquid-Gas,Experimental,NIST,Authors: Yang, L.;Luo, T.-L.;Lian, H.-L.;Liu, G.-J. Title: Density and Viscosity of (2,2-Dichloro-N,N-di-2-propenylacetamide + Acetone) and (2,2-Dichloro-N,N-di-2-propenylacetamide + Ethanol) at T = (278.15 to 313.15) K Citation: J. Chem. Eng. Data,2010,55, 1364-1367,,,,
283.154,801.669,0.145,Liquid-Gas,Experimental,NIST,Authors: Estrada-Baltazar, A.;De Leon-Rodriguez, A.;Hall, K. R.;Ramos-Estrada, M.;Iglesias-Silva, G. A. Title: Experimental Densities and Excess Volumes for Binary Mixtures Containing Propionic Acid, Acetone and Water from 283.15 K to 323.15 K at Atmospheric Pressure Citation: J. Chem. Eng. Data,2003,48, 1425-1431,,,,,,
283.363868,807.3,0.5,Liquid-Gas,Experimental - Rejected,NIST,Authors: Thorpe, T. E. Title: On the Relation Between the Molecular Weights of Substances and their Specific Gravities in the Liquid State Citation: J. Chem. Soc.,1880,37,141,,,,,,,,,,,
284.413238,806.08,0.5,Liquid-Gas,Experimental - Rejected,NIST,Authors: Thorpe, T. E. Title: On the Relation Between the Molecular Weights of Substances and their Specific Gravities in the Liquid State Citation: J. Chem. Soc.,1880,37,141,,,,,,,,,,,
284.54316,803,5,Liquid-Gas,Experimental - Rejected,NIST,Authors: Jaeger, F. M. Title: Uber die Temperaturabhangigkeit der molekuran freien uberflackenenergie von flussigkeiten im temperaturbereich von -80 bis +1650 C Citation: Z. Anorg. Allg. Chem.,1917,101, 1-214,,,,,,,,,,,
286.59193,798.98,0.4,Liquid-Gas,Experimental,NIST,Authors: Schwers, F. Citation: Bull. Cl. Sci. Acad. R. Belg.,1912, ,719,,,,,,,,,,,
286.771822,801.3,1,Liquid-Gas,Experimental - Rejected,NIST,Authors: Prytz, K. Title: Experimental investigations of the refractive index Citation: Ann. Phys. (Leipzig),1880,11, 104-20,,,,,,,,,,,
287.04166,799.43,0.7,Liquid-Gas,Experimental - Rejected,NIST,Authors: Kopp, H. Citation: Justus Liebigs Ann. Chem.,1848,64,212,,,,,,,,,,,
287.1416,718.5,0.5,Liquid-Gas,Experimental - Rejected,NIST,Authors: Faust, O. Title: The Viscosity of Liquid Mixtures, their dependence on Temperature and the relation between the Viscosity of Liquids with their Vapor Pressures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1912,79,97,,,,,,,,,
287.54136,798.8,8.5,Liquid-Gas,Experimental,NIST,Authors: Worley, R. P. Title: XXX. The Surface Tension of Mixtures. Part II. Mixtures of Perfectly Miscible Liquids and the Relation between Their Surface Tensions and Vapor Pressures Citation: J. Chem. Soc.,1914,105,273,,,,,,,,,,,
288.111018,796.75,0.3,Liquid-Gas,Experimental,NIST,Authors: Rakovskii, A. V.;Frost, A. V. Citation: Tr. Inst. Chist. Khim. Reakt.,1930,9,95,,,,,,,,,,
288.141,797.2,0.5,Liquid-Gas,Experimental,NIST,Authors: Capitani, C.;Mugnaini, E. Title: Rapid determination of the water + acetone + isopropanol mixture Citation: Chim. Ind. (Milan, Italy),1952,34,193,,,,,,,,,
288.141,795.81,0.5,Liquid-Gas,Experimental,NIST,Authors: Perkin, W. H. Title: On the Magnetic Rotary Polarisation of Compounds in Relation to their Chemical Consitution; with Observations on the Preparation and Relative Densities of the Bodies Examined Citation: J. Chem. Soc.,1884,45, 421-580,,,,,,,,,,,
288.141,795,0.4,Liquid-Gas,Experimental,NIST,Authors: Quinlan, J. E.;Amis, E. S. Citation: J. Am. Chem. Soc.,1955,77,4187,,,,,,,,,,
288.141,789.98,2,Liquid-Gas,Experimental - Rejected,NIST,Authors: Doroshevskii, A. G. Title: Mutual action of associated liquids Citation: Zh. Russ. Fiz.-Khim. O-va, Chast Khim.,1911,43,46,,,,,,,,,,
288.141,793,1.5,Liquid-Gas,Experimental - Rejected,NIST,Authors: Faust, O. Title: The Viscosity of Liquid Mixtures, their dependence on Temperature and the relation between the Viscosity of Liquids with their Vapor Pressures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1912,79,97,,,,,,,,,
288.146555,795.71,0.23,Liquid-Gas,Experimental,NIST,Authors: French, H. T. Title: Excess Enthalpies of (Acetone + Water) at 278.15,288.15,298.15, 308.15 318.15 and 323.15 K Citation: J. Chem. Thermodyn.,1989,21,801,,,,,,,,
288.15,795.8,0.2,Liquid-Gas,Experimental,NIST,Authors: Casas, L. M.;Tourino, A.;Orge, B.;Marino, G.;Iglesias, M.;Tojo, J. Title: Thermophysical Properties of Acetone or Methanol + n-Alkane (C9 to C12) Mixtures Citation: J. Chem. Eng. Data,2002,47, 887-893,,,,,,
288.6407,811.7,1,Liquid-Gas,Experimental - Rejected,NIST,Authors: Gladstone, J. H.;Dale, T. P. Title: Researches on the refraction, dispersion, and sensitiveness of liquids Citation: Philos. Trans. R. Soc. London,1863,153,317,,,,,,,,
288.69596682,795.5,0.5,Liquid-Gas,Experimental,NIST,Authors: Nicholls, J. R. Citation: Analyst,1929,54,9,,,,,,,,,,,
291.1392,794.06,0.5,Liquid-Gas,Experimental,NIST,Authors: McElroy, R.;Krug, S. Citation: J. Soc. Chem. Ind. (London),1893,12,177,,,,,,,,,,
291.1392,800,0.5,Liquid-Gas,Experimental - Rejected,NIST,Authors: Cheneveau, C. Citation: Ann. Chim. Phys.,1907,12,289,,,,,,,,,,,
291.1392,795.8,0.5,Liquid-Gas,Experimental - Rejected,NIST,Authors: Eisele, I. Citation: Ann. Phys. (Leipzig),1925,76,396,,,,,,,,,,,
291.1392,810,0.6,Liquid-Gas,Experimental - Rejected,NIST,Authors: Faust, O. Title: The Viscosity of Liquid Mixtures, their dependence on Temperature and the relation between the Viscosity of Liquids with their Vapor Pressures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1912,79,97,,,,,,,,,
291.1392,790,2,Liquid-Gas,Experimental - Rejected,NIST,Authors: Parthasarathy, P. S.;Chari, S. S.;Srinivasan, D. Citation: J. Phys. Radium,1953,14,541,,,,,,,,,
291.209158,795.12,0.3,Liquid-Gas,Experimental - Rejected,NIST,Authors: Schwers, F. Title: Density and Refractive Index of Solutions. New Contributions to the Study of Solutions II. Study of the Variation of Contractions of Solutions Under the Influence of Temperature Citation: J. Chim. Phys. Phys.-Chim. Biol.,1911,9,15,,,,,,,,,,,
292.1386,794.0692,0.4826,Liquid-Gas,Experimental - Rejected,NIST,Authors: Schall, C.;Kossakowsky, L. Title: The theory of vaporization Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1891,8, 241-71,,,,,,,,,
292.98809,793.7,1.1,Liquid-Gas,Experimental - Rejected,NIST,Authors: Kurtz, S. S.;Wikingsson, A. E.;Camin, D. L.;Thompson, A. R. Title: Refractive Index and Density of Acetone-Water Solutions Citation: J. Chem. Eng. Data,1965,10,330,,,,,,,,
293,791.3,0.71,Liquid-Gas,Experimental,NIST,Authors: Qin, A.;Hoffman, D. E.;Munk, P. Title: Excess volume of mixtures of selected alkyl esters and ketones with aromatic hydrocarbons Citation: J. Chem. Eng. Data,1992,37, 66-70,,,,,,,,,
293,791.44,2.39,Liquid-Gas,Experimental,NIST,Authors: Qin, A.;Hoffman, D. E.;Munk, P. Title: Excess volumes of mixtures of alkanes with carbonyl compounds Citation: J. Chem. Eng. Data,1992,37, 55-61,,,,,,,,,
293.08803,790.5,4.6,Liquid-Gas,Experimental,NIST,Authors: Kudryavtseva, L. S.;Susarev, M. P. Title: Liquid-vapor equilibrium in chloroform-hexane and acetone-chloroform systems. Citation: Zh. Prikl. Khim. (Leningrad),1963,36, 1231-1237,,,,,,,,,,
293.08803,790.5,9.3,Liquid-Gas,Experimental,NIST,Authors: Marinichev, A. N.;Susarev, M. P. Title: Investigations of phase equilibria in the system acetone + methanol + cyclohexane Citation: Zh. Prikl. Khim. (Leningrad),1965,38,1054,,,,,,,,,,
293.09538,792,5,Liquid-Gas,Experimental,NIST,Authors: Byk, S. Sh.;Fomina, V. I.;Vlasova, V. I.;Moiseeva, T. P. Title: Liquid-vapor equilibrium in the systems allyl alcohol + acetone and allyl alcohol + acetaldehyde Citation: Zh. Prikl. Khim. (Leningrad),1976,49, 662-3,,,,,,,,
293.09538,790,4.6,Liquid-Gas,Experimental,NIST,Authors: Kraus, J.;Linek, J. Title: Liquid-vapor equilibrium. XLVIII. The systems acetone-benzene, acetone-toluene, benzene-methyl ethyl ketone, methyl ethyl ketone-toluene and methyl ethyl ketone-ethylbenzene Citation: Collect. Czech. Chem. Commun.,1971,36,2547,,,,,,,
293.09538,790.3,0.8,Liquid-Gas,Experimental,NIST,Authors: Waradzin, W.;Surovy, J. Title: Equilibrium data of the liquid-vapour systems containing acetone, vinyl acetate, crotonaldehyde, and acetic acid: I experimental data for isothermal binary systems processed by means of the wilson eq Citation: Chem. Zvesti,1975,29,783,,,,,,,
293.09538,794.6,4.6,Liquid-Gas,Experimental - Rejected,NIST,Authors: Kupriyanova, Z. N.;Belugin, V. F.;Shakhova, G. B. Title: Influence of potassium chloride on liquid-vapor equilibrium in the system acetone + water at 760 mm Citation: Zh. Prikl. Khim. (Leningrad),1973,46, 234-237,,,,,,,,,
293.1,789.7,0.3,Liquid-Gas,Experimental,NIST,Authors: Qun-Fang, L.;Ruisen, L.;Dan-Yan, N.;Yu-Chun, H. Title: Thermal Conductivities of Some Organic Solvents and Their Binary Mixtures Citation: J. Chem. Eng. Data,1997,42, 971-974,,,,,,,,
293.1,790.23,5,Liquid-Gas,Experimental,NIST,Authors: Tong, Z.;Zhao, C.;Lu, H. Title: Excess enthalpies for ketone-alcohol systems Citation: Thermochim. Acta,1990,169, 323-30,,,,,,,,,
293.138,791.0355,0.2758,Liquid-Gas,Experimental,NIST,Authors: Beare, W. G.;McVicar, G. A.;Ferguson, J. B. Title: The partial pressures of vapors of volatile liquids in the presence of inert gases Citation: J. Phys. Chem.,1931,35,1068,,,,,,,,,
293.138,790.35,4.59,Liquid-Gas,Experimental,NIST,Authors: Belousov, V. P.;Sokolova, E. P. Title: Heats of Mixing of Liquids IV. Heats of Miuxing in Acetone-Water, Methyl Ethyl Ketone-Water, and Cycvlohexanone-Water Citation: Vestn. Leningr. Univ., Ser. 4: Fiz. Khim.,1966,21,90,,,,,,,
293.138,790.2,0.3,Liquid-Gas,Experimental,NIST,Authors: Cook, N. C. Citation: Unpublished, Final Rep. Stand. Proj. on Oxygenated Compounds, ,1952, Penn. State Univ., College Park, PA,,,,,,,,
293.138,790.9,0.3,Liquid-Gas,Experimental,NIST,Authors: Frontas'ev, V. P.;Shraiber, L. S. Title: Refractometric Investigations of Some Organic Liquids Citation: Uch. Zap. Sarat. Gos. Univ.,1960,69,225,,,,,,,,,,
293.138,789.94,3.61,Liquid-Gas,Experimental,NIST,Authors: Howard, K. S.;Pike, F. P. Title: Viscosities and Densities of Acetone-Benzene and Acetone-Acetic Acid Systems up to Their Normal Boiling Points Normal Boiling Points Citation: J. Chem. Eng. Data,1959,4, 331-3,,,,,,,,,,
293.138,791.8,1,Liquid-Gas,Experimental,NIST,Authors: Landolt, H. Title: The influence of the atomic combination of liquid compounds containing carbon, hydrogen and oxygen on the transmission of light Citation: Ann. Phys. (Leipzig),1864,122,545,,,,,,,,,,
293.138,790,2,Liquid-Gas,Experimental,NIST,Authors: Milas, N. A.;Perry, L. H. Citation: J. Am. Chem. Soc.,1946,68,1938,,,,,,,,,,
293.138,791.1,0.5,Liquid-Gas,Experimental,NIST,Authors: Olivier, S. C. J. Citation: Recl. Trav. Chim. Pays-Bas,1937,56, 247-62,,,,,,,,,,,
293.138,790.61,0.3,Liquid-Gas,Experimental,NIST,Authors: Young, W. G. Title: The Specific Gravity of Acetone-Water Mixtures Citation: J. Soc. Chem. Ind. (London),1933,52,449,,,,,,,,,,,
293.138,792.644261256,1.19374135731,Liquid-Gas,Experimental - Rejected,NIST,Authors: Bingham, E. C.;Brown, D. F. Title: The Mixture Law Citation: J. Rheol.,1932,3, 95-112,,,,,,,,,,
293.138,796,4.7,Liquid-Gas,Experimental - Rejected,NIST,Authors: Cowan, D. M.;Jeffery, G. H.;Vogel, A. I. Title: Physical Properties and Chemical Constitution. V. Alkyl Ketones. Citation: J. Chem. Soc.,1940, , 171-176,,,,,,,,,
293.138,799.7,2,Liquid-Gas,Experimental - Rejected,NIST,Authors: Gartenmeister, R. Title: The Viscosity of Liquid Carbon Compounds and its Relationship to Chemical Consitution Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1890,6,524,,,,,,,,,,
293.138,792.9,0.5,Liquid-Gas,Experimental - Rejected,NIST,Authors: Jacobson, B. Title: On the adiabatic compressibility of aqueous solutions Citation: Ark. Kemi,1950,2, 177-210,,,,,,,,,,,
293.138,794.74,5,Liquid-Gas,Experimental - Rejected,NIST,Authors: Jahn, H. Citation: Ann. Phys. (Leipzig),1891,43,280,,,,,,,,,,,
293.138,792.695410064,0.216379481108,Liquid-Gas,Experimental - Rejected,NIST,Authors: Joerges-Heyden, M.;Nikuradse, A. Title: The concentration dependence of the volume effect and dipole moment of binary and ternary mixtures of some organic liquids. Citation: Z. Naturforsch., A: Astrophys. Phys. Phys. Chem.,1950,5, 259-69,,,,,,,,,
293.138,793.7,1.1,Liquid-Gas,Experimental - Rejected,NIST,Authors: Kurtz, S. S.;Wikingsson, A. E.;Camin, D. L.;Thompson, A. R. Title: Refractive Index and Density of Acetone-Water Solutions Citation: J. Chem. Eng. Data,1965,10,330,,,,,,,,
293.138,797,2,Liquid-Gas,Experimental - Rejected,NIST,Authors: Malosse, H. Citation: C. R. Hebd. Seances Acad. Sci.,1912,154,1697,,,,,,,,,,,
293.138,812.5,0.3,Liquid-Gas,Experimental - Rejected,NIST,Authors: Richards, T. W.;Shipley, J. W. Title: The Compressibility of Certain Typical Hydrocarbons, Alcohols and Ketones Citation: J. Am. Chem. Soc.,1916,38, 989-99,,,,,,,,,
293.14537,791.5,4.3,Liquid-Gas,Experimental,NIST,Authors: Atoyan, V. A.;Mamedov, I. A. Title: Complex study of acoustic and viscous properties of dimethyl ketone in a wide range of temperatures and pressures Citation: Zh. Fiz. Khim.,1976,50, 2976-2978,,,,,,,,,,
293.14537,790.2,0.3,Liquid-Gas,Experimental,NIST,Authors: Bauer, H.;Meerlender, G Title: Precise Viscosity Measurement of Newtonian Liquids with .nu.>1 mm2/s for the Selection of Suitable Standards Citation: Rheol. Acta,1984,23,514,,,,,,,,,,
293.14537,789.5,0.8,Liquid-Gas,Experimental,NIST,Authors: Gu, Y.;Zhang, B.;Lin, Z.;Chen, K. Title: Ternary liquid-liquid equilibrium of acetone - isobutyraldehyde - water Citation: Shiyou Huagong,1983,12, 664-672,,,,,,,,
293.14537,790.04,0.32,Liquid-Gas,Experimental,NIST,Authors: Holzapfel, K.;Goetze, G.;Demiriz, A. M.;Kohler, F. Title: Volume and isothermal compressibility of some normal alkanes (C5-C16) + 2,3 -dimethylbutane, + methylcyclopentane, + butylcyclohexane, + be nzene, + 2- propanone, or + tetrachloromethane. Citation: Int. DATA Ser., Sel. Data Mixtures, Ser. A,1987, , 30-56
293.14537,790.9,4.6,Liquid-Gas,Experimental,NIST,Authors: Tsuji, K.;Ichikawa, K.;Yamamoto, H. Title: Solubilities of Oxygen and Nitrogen in Acetone-Water Mixed Solvent Citation: Kagaku Kogaku Ronbunshu,1987,6,825,,,,,,,,,
