Temperature ( K ),density ( kg/m 3 ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,,
298.15,784.28,4.56,Liquid-Gas,Experimental,NIST,Authors: Wang, R.;Shi, J. Title: Measurement and Prediction of the Liquid Densities for Ethanol - Acetone Citation: Gaoxiao Huaxue Gongcheng Xuebao,1996,10, 134-139,,,,,,,,,,
298.15,784.233,0.311,Liquid-Gas,Experimental,NIST,Authors: Zafarani-Moattar, M. T.;Shekaari, H. Title: Density and speed of sound of lithium bromide with organic solvents: Measurement and correlation Citation: J. Chem. Thermodyn.,2007,39, 1649-1660,,,,,,,,,,
298.15,780.8,0.7,Liquid-Gas,Experimental - Rejected,NIST,Authors: Agarwal, D.;Singh, M. Title: Densities and Viscosities of Binary Liquid Mixtures of Trichloroethylene and Tetrachloroethylene with Some Polar and Nonpolar Solvents Citation: J. Chem. Eng. Data,2004,49, 1218-1224,,,,,,,,,,
298.15,780.8,6,Liquid-Gas,Experimental - Rejected,NIST,Authors: Agarwal, D.;Singh, M. Title: Viscometric studies of molecular interactions in binary liquid mixtures of nitromethane with some polar and non-polar solvents at 298.15 K Citation: J. Indian Chem. Soc.,2004,81, 850-859,,,,,,,,,,
298.15,779,4.43,Liquid-Gas,Experimental - Rejected,NIST,Authors: Govindarajan, S.;Kannappan, V.;Naresh, M. D.;Venkataboopathy, K.;Lokanadam, B. Title: Ultrasonic studies on the molecular interaction of gallic acid in aqueous methanol and acetone solutions and the role of gallic acid as viscosity reducer Citation: J. Mol. Liq.,2003,107, 289-316,,,,,,,
298.15,787.087,0.513,Liquid-Gas,Experimental - Rejected,NIST,Authors: Marras, G.;Blanco, S. T.;Otin, S. Title: Excess molar volumes of nitrile + ketone mixtures at 298.15 K Citation: Thermochim. Acta,1994,242, 27-32,,,,,,,,,
298.15,787,1.4,Liquid-Gas,Experimental - Rejected,NIST,Authors: Yang, L.;Luo, T.-L.;Lian, H.-L.;Liu, G.-J. Title: Density and Viscosity of (2,2-Dichloro-N,N-di-2-propenylacetamide + Acetone) and (2,2-Dichloro-N,N-di-2-propenylacetamide + Ethanol) at T = (278.15 to 313.15) K Citation: J. Chem. Eng. Data,2010,55, 1364-1367,,,,
298.156,785.1,0.19,Liquid-Gas,Experimental,NIST,Authors: Domanska, U.;Lachwa, J. Title: Densities, Excess Molar Volumes, and Excess Molar Enthalpies of (N-Methyl-2-pyrrolidinone + Ketone) at T ) 298.15 K Citation: J. Chem. Eng. Data,2002,47, 1446-52,,,,,,,,
298.34433,784.4,4.6,Liquid-Gas,Experimental,NIST,Authors: Ismagilov, R. G.;Ermakov, G. V. Title: Speed of sound in some overheated organic liquids Citation: Teplofiz. Vys. Temp.,1982,20, 677-682,,,,,,,,,,
302.4,788.4,3.2,Liquid-Gas,Experimental - Rejected,NIST,Authors: Das, A. K.;Jha, B. L. Title: Molecular Interactions in Binary Mixture of DMSO-Aromatic/Aliphatic hydrocarbons Citation: J. Mol. Liq.,1991,50, 155-186,,,,,,,,,,
303.08402,780,0.8,Liquid-Gas,Experimental,NIST,Authors: Achary, M. V. R.;Rao, C. V. J. Citation: Trans. Indian Inst. Chem. Eng.,1953,6,129,,,,,,,,,,
303.08402,779.4,0.8,Liquid-Gas,Experimental,NIST,Authors: Chandramouli, V. V.;Laddha, G. S. Title: Vapour-liquid equilibria: acetone + methanol + ethylene glycol system Citation: J. Sci. Ind. Res., Sect. D,1962,21, 269-274,,,,,,,,,
303.08402,779.3,0.8,Liquid-Gas,Experimental,NIST,Authors: Rao, K. V. K.;Rao, C. V. Citation: Chem. Eng. Sci.,1957,7,97,,,,,,,,,,
303.08402,778.7,0.9,Liquid-Gas,Experimental,NIST,Authors: Subrahmanyam, V.;Dakshinamurty, P. Title: Vapor-liquid equilibrium: systems: acetone - ethyl acetate; acetone - n- propyl acetate Citation: J. Appl. Chem.,1964,14, 500-2,,,,,,,,,,
303.134,779.07,0.1,Liquid-Gas,Experimental,NIST,Authors: Mueller, C. R.;Kearns, E. R. Title: Thermodynamic Studies of the System Acetone and Chloroform Citation: J. Phys. Chem.,1958,62, 1441-5,,,,,,,,,,
303.134,781.1,0.5,Liquid-Gas,Experimental - Rejected,NIST,Authors: Bhagwat, W. V.;Subnis, M. V. Title: Application of Mixture Law to Rhechor Part I Citation: J. Indian Chem. Soc.,1948,25,165,,,,,,,,,,
303.134,757.8,0.5,Liquid-Gas,Experimental - Rejected,NIST,Authors: Bhagwat, W. V.;Subnis, M. V. Title: Application of Mixture Law to Rhechor Part I Citation: J. Indian Chem. Soc.,1948,25,165,,,,,,,,,,
303.134,781.005935645,1.21994054303,Liquid-Gas,Experimental - Rejected,NIST,Authors: Bingham, E. C.;Brown, D. F. Title: The Mixture Law Citation: J. Rheol.,1932,3, 95-112,,,,,,,,,,
303.143055,790.3,9.3,Liquid-Gas,Experimental - Rejected,NIST,Authors: Rastorguev, Yu. L.;Nemzer, V. G. Title: Apparatus for the study of thermal conductivity of high temperature working fluids in the liquid phase Citation: Teploenergetika,1968, , 78-81,,,,,,,,,,
303.145,778.876,0.144,Liquid-Gas,Experimental,NIST,Authors: Estrada-Baltazar, A.;De Leon-Rodriguez, A.;Hall, K. R.;Ramos-Estrada, M.;Iglesias-Silva, G. A. Title: Experimental Densities and Excess Volumes for Binary Mixtures Containing Propionic Acid, Acetone and Water from 283.15 K to 323.15 K at Atmospheric Pressure Citation: J. Chem. Eng. Data,2003,48, 1425-1431,,,,,,
303.15,779.4,0.2,Liquid-Gas,Experimental,NIST,Authors: Clara, R. A.;DE DOZ, M. B. G.;Solimo, H. N. Title: LIQUID-LIQUID EQUILIBRIA FOR WATER + NITROMETHANE + (I-PROPANOL, OR + ACETONE, OR + p-DIOXANE) TERNARY SYSTEMS AT 303.15K Citation: Phys. Chem. Liq.,2000,38, 439-450,,,,,,,
303.15,773.63,4.39,Liquid-Gas,Experimental - Rejected,NIST,Authors: Govindarajan, S.;Kannappan, V.;Naresh, M. D.;Venkataboopathy, K.;Lokanadam, B. Title: Ultrasonic studies on the molecular interaction of gallic acid in aqueous methanol and acetone solutions and the role of gallic acid as viscosity reducer Citation: J. Mol. Liq.,2003,107, 289-316,,,,,,,
303.15,782.4,2.4,Liquid-Gas,Experimental - Rejected,NIST,Authors: Jain, P.;Singh, M. Title: Density, Viscosity, and Excess Properties of Binary Liquid Mixtures of Propylene Carbonate with Polar and Nonpolar Solvents Citation: J. Chem. Eng. Data,2004,49, 1214-1217,,,,,,,,
303.15,780.39,0.44,Liquid-Gas,Experimental - Rejected,NIST,Authors: Kinart, C. M.;Kinart, W. J.;Cwiklinska, A. Title: Density and Viscosity at Various Temperatures for 2-Methoxyethanol + Acetone Mixtures Citation: J. Chem. Eng. Data,2002,47, 76-78,,,,,,,,,
303.15,781.2,1.5,Liquid-Gas,Experimental - Rejected,NIST,Authors: Yang, L.;Luo, T.-L.;Lian, H.-L.;Liu, G.-J. Title: Density and Viscosity of (2,2-Dichloro-N,N-di-2-propenylacetamide + Acetone) and (2,2-Dichloro-N,N-di-2-propenylacetamide + Ethanol) at T = (278.15 to 313.15) K Citation: J. Chem. Eng. Data,2010,55, 1364-1367,,,,
305.1332,692.8,0.5,Liquid-Gas,Experimental - Rejected,NIST,Authors: Faust, O. Title: The Viscosity of Liquid Mixtures, their dependence on Temperature and the relation between the Viscosity of Liquids with their Vapor Pressures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1912,79,97,,,,,,,,,
305.972864,777.62,0.92,Liquid-Gas,Experimental - Rejected,NIST,Authors: Felsing, W. A.;Durban, S. A. Title: The vapor pressures, densities, and some derived quantities for acetone Citation: J. Am. Chem. Soc.,1926,48,2885,,,,,,,,
307.6322,776.19,0.3,Liquid-Gas,Experimental - Rejected,NIST,Authors: Schwers, F. Title: Density and Refractive Index of Solutions. New Contributions to the Study of Solutions II. Study of the Variation of Contractions of Solutions Under the Influence of Temperature Citation: J. Chim. Phys. Phys.-Chim. Biol.,1911,9,15,,,,,,,,,,,
308,764,10,Liquid-Gas,Experimental - Rejected,NIST,Authors: Dash, A. K.;Paikaray, R. Title: Molecular interaction studies in ternary liquid mixture of dimethylacetamide using ultrasonic technique at 308 K Citation: Phys. Chem. Liq.,2015,53, 230-241,,,,,,,,,,
308.09157,790,1,Liquid-Gas,Experimental - Rejected,NIST,Authors: Lieberwirth, I.;Schuberth, H. Title: Isothermal vapor-liquid phase equilibrium behavior of the acetone + water system at 35 c. Citation: Z. Phys. Chem. (Leipzig),1979,260,669,,,,,,,,,,
308.1,779.23,0.42,Liquid-Gas,Experimental - Rejected,NIST,Authors: Tripathi, A. D. Title: Dielectric Properties of Mixtures of Acetylene Tetrachloride with Toluene and Acetone Citation: J. Solution Chem.,1994,23, 769-776,,,,,,,,,,,
308.132,777,0.9,Liquid-Gas,Experimental - Rejected,NIST,Authors: Worley, R. P. Title: XXX. The Surface Tension of Mixtures. Part II. Mixtures of Perfectly Miscible Liquids and the Relation between Their Surface Tensions and Vapor Pressures Citation: J. Chem. Soc.,1914,105,273,,,,,,,,,,,
308.141555,773.6,3.5,Liquid-Gas,Experimental,NIST,Authors: Deshpande, D. D.;Bhatgadde, L. G. Title: Heat Capacities at Constant Volume, Free Volumes, and Rotational Freedom in Some Liquids Citation: Aust. J. Chem.,1971,24, 1817-22,,,,,,,,
308.141555,773.6,2.4,Liquid-Gas,Experimental,NIST,Authors: Gour, S. N.;Tomar, J. S.;Varma, R. P. Title: Ultrasonic investigation of molecular interactions in binary liquid mixtures Citation: Indian J. Pure Appl. Phys.,1986,24,602,,,,,,,,,
308.141555,773,1,Liquid-Gas,Experimental,NIST,Authors: Hafez, M.;Hartland, S. Title: Densities and Viscosities of Binary Systems Toluene-Acetone and 4-Methyl-2-pentanone-Acetic acid at 20,25,35, and 45 deg C Citation: J. Chem. Eng. Data,1976,21,179,,,,,,,
308.15,773.066,0.154,Liquid-Gas,Experimental,NIST,Authors: Bhagour, S.;Solanki, S.;Hooda, N.;Sharma, D.;Sharma, V. K. Title: Thermodynamic properties of binary mixtures of the ionic liquid [emim][BF4] with acetone and dimethylsulphoxide Citation: J. Chem. Thermodyn.,2013,60, 76-86,,,,,,,
308.15,773.5,0.7,Liquid-Gas,Experimental,NIST,Authors: Rajagopal, K.;Chenthilnath, S. Title: Density and Viscosity of Ketones with Toluene at Different Temperatures and at Atmospheric Pressure Citation: J. Chem. Eng. Data,2010,55, 1060-1063,,,,,,,,,,
308.15,773.21,0.24,Liquid-Gas,Experimental,NIST,Authors: Vercher, E.;Llopis, F. J.;Gonzalez-Alfaro, M. V.;Martinez-Andreu, A. Title: Density, Speed of Sound, and Refractive Index of 1-Ethyl-3-methylimidazolium Trifluoromethanesulfonate with Acetone, Methyl Acetate, and Ethyl Acetate at Temperatures from (278.15 to 328.15) K Citation: J. Chem. Eng. Data,2010,55, 1377-1388,,,,
308.15,768.33,4.34,Liquid-Gas,Experimental - Rejected,NIST,Authors: Govindarajan, S.;Kannappan, V.;Naresh, M. D.;Venkataboopathy, K.;Lokanadam, B. Title: Ultrasonic studies on the molecular interaction of gallic acid in aqueous methanol and acetone solutions and the role of gallic acid as viscosity reducer Citation: J. Mol. Liq.,2003,107, 289-316,,,,,,,
308.15,777.84,0.44,Liquid-Gas,Experimental - Rejected,NIST,Authors: Kinart, C. M.;Kinart, W. J.;Cwiklinska, A. Title: Density and Viscosity at Various Temperatures for 2-Methoxyethanol + Acetone Mixtures Citation: J. Chem. Eng. Data,2002,47, 76-78,,,,,,,,,
308.15,775.6,1.6,Liquid-Gas,Experimental - Rejected,NIST,Authors: Yang, L.;Luo, T.-L.;Lian, H.-L.;Liu, G.-J. Title: Density and Viscosity of (2,2-Dichloro-N,N-di-2-propenylacetamide + Acetone) and (2,2-Dichloro-N,N-di-2-propenylacetamide + Ethanol) at T = (278.15 to 313.15) K Citation: J. Chem. Eng. Data,2010,55, 1364-1367,,,,
308.301932,776.228770143,0.602531103598,Liquid-Gas,Experimental - Rejected,NIST,Authors: Hubbard, J. C. Title: Physical properties of binary liquid mixtures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1910,74, 207-32,,,,,,,,,,
308.301932,776.246846497,0.602559166697,Liquid-Gas,Experimental - Rejected,NIST,Authors: Hubbard, J. C. Title: Physical properties of binary liquid mixtures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1910,74, 207-32,,,,,,,,,,
309.011648,773.9,0.96,Liquid-Gas,Experimental - Rejected,NIST,Authors: Felsing, W. A.;Durban, S. A. Title: The vapor pressures, densities, and some derived quantities for acetone Citation: J. Am. Chem. Soc.,1926,48,2885,,,,,,,,
313.13,770.5,0.5,Liquid-Gas,Experimental - Rejected,NIST,Authors: Bhagwat, W. V.;Subnis, M. V. Title: Application of Mixture Law to Rhechor Part I Citation: J. Indian Chem. Soc.,1948,25,165,,,,,,,,,,
313.13,771.3,0.5,Liquid-Gas,Experimental - Rejected,NIST,Authors: Bhagwat, W. V.;Subnis, M. V. Title: Application of Mixture Law to Rhechor Part I Citation: J. Indian Chem. Soc.,1948,25,165,,,,,,,,,,
313.140055,767.239101717,1.01352589395,Liquid-Gas,Experimental,NIST,Authors: Hicks, P. J.;Prausnitz, J. M. Title: Solubility of acetone and isopropyl ether in compressed nitrogen, methane and carbon dioxide Citation: J. Chem. Eng. Data,1981,26, 74-80,,,,,,,,,
313.140055,768.253968254,4.06483581087,Liquid-Gas,Experimental,NIST,Authors: Voronkov, A. P.;Mislavskaya, V. S.;Mushii, R. Ya.;Khodeeva, S. M. Title: Phase equilibria in acetone + acetylene system Citation: Russ. J. Phys. Chem.,1975,49,1848,,,,,,,,
313.140055,768.965973785,0.407237375234,Liquid-Gas,Experimental - Rejected,NIST,Authors: Costas, M.;Patterson, D. Title: Heat capacities of water + organic solvent mixtures Citation: J. Chem. Soc., Faraday Trans. 1,1985,81,2381,,,,,,,,,
313.15,766.91,0.37,Liquid-Gas,Experimental,NIST,Authors: Enders, S.;Kahl, H.;Winkelmann, J. Title: Surface Tension of the Ternary System Water + Acetone + Toluene Citation: J. Chem. Eng. Data,2007,52, 1072-1079,,,,,,,,,
313.15,766.7,4.5,Liquid-Gas,Experimental,NIST,Authors: Liu, H.;Luo, Z. Title: Experimental Determination of the Density and Viscosity for Liquid Mixtures Citation: Huaxue Gongcheng,1992,20, 65-68,,,,,,,,,,
313.15,764.49,4.32,Liquid-Gas,Experimental - Rejected,NIST,Authors: Govindarajan, S.;Kannappan, V.;Naresh, M. D.;Venkataboopathy, K.;Lokanadam, B. Title: Ultrasonic studies on the molecular interaction of gallic acid in aqueous methanol and acetone solutions and the role of gallic acid as viscosity reducer Citation: J. Mol. Liq.,2003,107, 289-316,,,,,,,
313.15,770.8,1.7,Liquid-Gas,Experimental - Rejected,NIST,Authors: Yang, L.;Luo, T.-L.;Lian, H.-L.;Liu, G.-J. Title: Density and Viscosity of (2,2-Dichloro-N,N-di-2-propenylacetamide + Acetone) and (2,2-Dichloro-N,N-di-2-propenylacetamide + Ethanol) at T = (278.15 to 313.15) K Citation: J. Chem. Eng. Data,2010,55, 1364-1367,,,,
313.22997,757,5,Liquid-Gas,Experimental - Rejected,NIST,Authors: Jaeger, F. M. Title: Uber die Temperaturabhangigkeit der molekuran freien uberflackenenergie von flussigkeiten im temperaturbereich von -80 bis +1650 C Citation: Z. Anorg. Allg. Chem.,1917,101, 1-214,,,,,,,,,,,
314.1297,765,0.6,Liquid-Gas,Experimental - Rejected,NIST,Authors: Faust, O. Title: The Viscosity of Liquid Mixtures, their dependence on Temperature and the relation between the Viscosity of Liquids with their Vapor Pressures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1912,79,97,,,,,,,,,
315.1294,771.1,4.5,Liquid-Gas,Experimental - Rejected,NIST,Authors: Cowan, D. M.;Jeffery, G. H.;Vogel, A. I. Title: Physical Properties and Chemical Constitution. V. Alkyl Ketones. Citation: J. Chem. Soc.,1940, , 171-176,,,,,,,,,
317.82859,763.21,0.3,Liquid-Gas,Experimental - Rejected,NIST,Authors: Schwers, F. Title: Density and Refractive Index of Solutions. New Contributions to the Study of Solutions II. Study of the Variation of Contractions of Solutions Under the Influence of Temperature Citation: J. Chim. Phys. Phys.-Chim. Biol.,1911,9,15,,,,,,,,,,,
317.97,761.17,0.19,Liquid-Gas,Experimental,NIST,Authors: Gomes de Azevedo, R.;Szydlowski, J.;Pires, P. F.;Esperanca, J. M. S. S.;Guedes, H. J. R.;Rebelo, L. P. N. Title: A novel non-intrusive microcell for sound-speed measurements in liquids. Speed of sound and thermodynamic properties of 2-propanone at pressures up to 160 MPa Citation: J. Chem. Thermodyn.,2004,36, 211-222,,,,,,
318.08857,762.2,0.7,Liquid-Gas,Experimental,NIST,Authors: Gupta, A. C.;Hanks, R. W. Title: Liquid phase pvt data for binary mixtures of toluene with nitroethane and acetone, and benzene with acetonitrile, nitromethane, and ethanol Citation: Thermochim. Acta,1977,21, 143-152,,,,,,,
318.08857,763.6,0.2,Liquid-Gas,Experimental - Rejected,NIST,Authors: Gupta, A. C.;Hanks, R. W. Title: Liquid phase pvt data for binary mixtures of toluene with nitroethane and acetone, and benzene with acetonitrile, nitromethane, and ethanol Citation: Thermochim. Acta,1977,21, 143-152,,,,,,,
318.1285,760.9,0.5,Liquid-Gas,Experimental,NIST,Authors: Brown, I.;Smith, F. Citation: Aust. J. Chem.,1962,15,03/08/26,,,,,,,,,,
318.138555,762.1,0.3,Liquid-Gas,Experimental,NIST,Authors: Deshpande, D. D.;Bhatgadde, L. G. Title: Sound velocities, adiabatic compressibilities, and free volumes in aniline solutions Citation: J. Phys. Chem.,1968,72,261,,,,,,,,
323,755.3,0.9,Liquid-Gas,Experimental,NIST,Authors: McLure, I. A.;Pegg, I. L. Title: Excess volumes of (hexadecane + propanone) at the temperatures T = 299.15 K and T = 305.15 K and orthobaric densities of propanone from T = 288.15 K to T = 323.15 K Citation: J. Chem. Thermodyn.,1996,28, 319-328,,,,,,,,,,
323.127,758.7,0.5,Liquid-Gas,Experimental - Rejected,NIST,Authors: Bhagwat, W. V.;Subnis, M. V. Title: Application of Mixture Law to Rhechor Part I Citation: J. Indian Chem. Soc.,1948,25,165,,,,,,,,,,
323.127,750,1.5,Liquid-Gas,Experimental - Rejected,NIST,Authors: Faust, O. Title: The Viscosity of Liquid Mixtures, their dependence on Temperature and the relation between the Viscosity of Liquids with their Vapor Pressures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1912,79,97,,,,,,,,,
323.144,755.314,0.143,Liquid-Gas,Experimental,NIST,Authors: Estrada-Baltazar, A.;De Leon-Rodriguez, A.;Hall, K. R.;Ramos-Estrada, M.;Iglesias-Silva, G. A. Title: Experimental Densities and Excess Volumes for Binary Mixtures Containing Propionic Acid, Acetone and Water from 283.15 K to 323.15 K at Atmospheric Pressure Citation: J. Chem. Eng. Data,2003,48, 1425-1431,,,,,,
323.15,784.36,20,Liquid-Gas,Experimental - Rejected,NIST,Authors: Chaudhari, S. Title: Vapor-liquid equilibria and excess molar volumes of diethylamine(1) + acetone(2) and diethylamine(1) + acetonitrile(2) binary systems Citation: Fluid Phase Equilib.,2002,200, 329-336,,,,,,,,,,,
324.776505,755.93,0.92,Liquid-Gas,Experimental - Rejected,NIST,Authors: Felsing, W. A.;Durban, S. A. Title: The vapor pressures, densities, and some derived quantities for acetone Citation: J. Am. Chem. Soc.,1926,48,2885,,,,,,,,
326.1261,756.3,0.9,Liquid-Gas,Experimental - Rejected,NIST,Authors: Worley, R. P. Title: XXX. The Surface Tension of Mixtures. Part II. Mixtures of Perfectly Miscible Liquids and the Relation between Their Surface Tensions and Vapor Pressures Citation: J. Chem. Soc.,1914,105,273,,,,,,,,,,,
328.1255,750.9,20.2,Liquid-Gas,Experimental,NIST,Authors: Ling, T. D.;Van Winkle, M. Title: Properties of binary mixtures as a function of composition Citation: Chem. Eng. Data Ser.,1958,3, 88-95,,,,,,,,,,
329.1252,750.6,2,Liquid-Gas,Experimental - Rejected,NIST,Authors: Schiff, R. Citation: Justus Liebigs Ann. Chem.,1883,220,71,,,,,,,,,,,
329.1252,750.6,2,Liquid-Gas,Experimental - Rejected,NIST,Authors: Schiff, R. Title: The Capillary Constants of Liquids at Their Boiling Point Citation: Justus Liebigs Ann. Chem.,1884,223, 47-106,,,,,,,,,,,
373.07438,692.252681764,0,Liquid-Gas,Experimental,NIST,Authors: Tugarev, I. A.;Avdus, Z. I.;Nozdrev, V. F. Title: Experiments of p-v-t parameters in liquid phase of acetone and benzene mixtures according to the boundary curve Citation: Zh. Fiz. Khim.,1975,49, 1256-8,,,,,,,,,
373.07438,687.337278107,3.25366758867,Liquid-Gas,Experimental,NIST,Authors: Voronkov, A. P.;Mislavskaya, V. S.;Mushii, R. Ya.;Khodeeva, S. M. Title: Phase equilibria in acetone + acetylene system Citation: Russ. J. Phys. Chem.,1975,49,1848,,,,,,,,
390.620869981,667.8,11.7,Liquid-Gas,Experimental,NIST,Authors: Campbell, A. N.;Chatterjee, R. M. Title: Orthobaric Data of Certain Pure Liquids in the Neighborhood of the Critical Point Citation: Can. J. Chem.,1968,46, 575-581,,,,,,,,,,
408.517289825,641.9,12.7,Liquid-Gas,Experimental,NIST,Authors: Campbell, A. N.;Chatterjee, R. M. Title: Orthobaric Data of Certain Pure Liquids in the Neighborhood of the Critical Point Citation: Can. J. Chem.,1968,46, 575-581,,,,,,,,,,
424.314128742,616.8,13.7,Liquid-Gas,Experimental,NIST,Authors: Campbell, A. N.;Chatterjee, R. M. Title: Orthobaric Data of Certain Pure Liquids in the Neighborhood of the Critical Point Citation: Can. J. Chem.,1968,46, 575-581,,,,,,,,,,
444.311549677,584,14.8,Liquid-Gas,Experimental,NIST,Authors: Campbell, A. N.;Chatterjee, R. M. Title: Orthobaric Data of Certain Pure Liquids in the Neighborhood of the Critical Point Citation: Can. J. Chem.,1968,46, 575-581,,,,,,,,,,
463.110685,533.823529412,0,Liquid-Gas,Experimental,NIST,Authors: Tugarev, I. A.;Avdus, Z. I.;Nozdrev, V. F. Title: Experiments of p-v-t parameters in liquid phase of acetone and benzene mixtures according to the boundary curve Citation: Zh. Fiz. Khim.,1975,49, 1256-8,,,,,,,,,
471.409546653,521.2,16.3,Liquid-Gas,Experimental,NIST,Authors: Campbell, A. N.;Chatterjee, R. M. Title: Orthobaric Data of Certain Pure Liquids in the Neighborhood of the Critical Point Citation: Can. J. Chem.,1968,46, 575-581,,,,,,,,,,
489.505644657,460.8,17.2,Liquid-Gas,Experimental,NIST,Authors: Campbell, A. N.;Chatterjee, R. M. Title: Orthobaric Data of Certain Pure Liquids in the Neighborhood of the Critical Point Citation: Can. J. Chem.,1968,46, 575-581,,,,,,,,,,
497.095863406,425.1,25.8,Liquid-Gas,Experimental,NIST,Authors: Herz, W.;Neukirch, E. Title: On Knowldge of the Critical State Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1923,104, 433-450,,,,,,,,,
498.11,420.869565217,0,Liquid-Gas,Experimental,NIST,Authors: Tugarev, I. A.;Avdus, Z. I.;Nozdrev, V. F. Title: Experiments of p-v-t parameters in liquid phase of acetone and benzene mixtures according to the boundary curve Citation: Zh. Fiz. Khim.,1975,49, 1256-8,,,,,,,,,
501.789734836,395.9,17.5,Liquid-Gas,Experimental,NIST,Authors: Campbell, A. N.;Chatterjee, R. M. Title: Orthobaric Data of Certain Pure Liquids in the Neighborhood of the Critical Point Citation: Can. J. Chem.,1968,46, 575-581,,,,,,,,,,
505.11,377.142857143,0,Liquid-Gas,Experimental,NIST,Authors: Tugarev, I. A.;Avdus, Z. I.;Nozdrev, V. F. Title: Experiments of p-v-t parameters in liquid phase of acetone and benzene mixtures according to the boundary curve Citation: Zh. Fiz. Khim.,1975,49, 1256-8,,,,,,,,,
506.573074463,335.6,19.8,Liquid-Gas,Experimental,NIST,Authors: Campbell, A. N.;Chatterjee, R. M. Title: Orthobaric Data of Certain Pure Liquids in the Neighborhood of the Critical Point Citation: Can. J. Chem.,1968,46, 575-581,,,,,,,,,,
507.978697145,259.8,27.9,Liquid-Gas,Experimental - Rejected,NIST,Authors: Herz, W.;Neukirch, E. Title: On Knowldge of the Critical State Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1923,104, 433-450,,,,,,,,,
508.0654593,252,14,Liquid-Gas,Experimental - Rejected,NIST,Authors: Herz, W.;Neukirch, E. Title: On Knowldge of the Critical State Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1923,104, 433-450,,,,,,,,,
508.0654593,278,28,Liquid-Gas,Experimental - Rejected,NIST,Authors: Kobe, K. A.;Crawford, H. R.;Stephenson, R. W. Title: Critical Properties and Vapor Pressures of Some Ketones Citation: Ind. Eng. Chem.,1955,47, 1767-72,,,,,,,,,
508.0654593,268.888888889,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Tugarev, I. A.;Avdus, Z. I.;Nozdrev, V. F. Title: Experiments of p-v-t parameters in liquid phase of acetone and benzene mixtures according to the boundary curve Citation: Zh. Fiz. Khim.,1975,49, 1256-8,,,,,,,,,
