Temperature ( K ),density ( kg/m 3 ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,
298.15,785.33,0.12,Liquid-Gas,Experimental,NIST,Authors: Oh, J.-H.;Hwang, I.-C.;Park, S.-J. Title: Isothermal vapor liquid equilibrium at 333.15K and excess molar volumes and refractive indices at 298.15K for the mixtures of di-methyl carbonate, ethanol and 2,2,4-trimethylpentane Citation: Fluid Phase Equilib.,2009,276, 142-149,,,,,
298.15,784.96,0.41,Liquid-Gas,Experimental,NIST,Authors: Ortega, J.;Galvan, S. Title: Vapor-Liquid Equilibria of Propyl Propanoate with 1-Alkanols at 101.32 kPa of Pressure Citation: J. Chem. Eng. Data,1994,39, 907-910,,,,,,,,,
298.15,785.2,0.3,Liquid-Gas,Experimental,NIST,Authors: Papaioannou, D.;Panayioton, C. Title: Viscosity of Binary Mixtures of Propylamine with Alkanols at Moderately High Pressures Citation: J. Chem. Eng. Data,1995,40, 202-9,,,,,,,,,
298.15,785.07,1.25,Liquid-Gas,Experimental,NIST,Authors: Papanastasiou, G. E.;Ziogas, I. I. Title: Physical Behavior of Some Reaction Media. Density, Viscosity, Dielectric Constant, and Refractive Index Changes of Ethanol-Cyclohexane Mixtures at Several Temperatures Citation: J. Chem. Eng. Data,1991,36, 46-51,,,,,,
298.15,785.49,0.22,Liquid-Gas,Experimental,NIST,Authors: Peng, I.-H.;Tu, C. -H. Title: Densities and Viscosities of Acetone, Diisopropyl Ether, Ethanol, and Methyl Ethyl Ketone with a Five-Component Hydrocarbon Mixture from 288.15 K to 308.15 K Citation: J. Chem. Eng. Data,2002,47, 1457-61,,,,,,
298.15,784.93,0.15,Liquid-Gas,Experimental,NIST,Authors: Pettenati, C.;Alessi, P.;Fermeglia, M.;Kikic, I. Title: Excess volumes of binary mixtures containing morpholine Citation: Thermochim. Acta,1990,162, 203-12,,,,,,,
298.15,785.41,0.15,Liquid-Gas,Experimental,NIST,Authors: Qian, W.;Xu, Y. J.;Zhu, H.;Yu, C. Title: Properties of pure 1-methylimidazolium acetate ionic liquid and its binary mixtures with alcohols Citation: J. Chem. Thermodyn.,2012,49, 87-94,,,,,,,
298.15,785.36,0.23,Liquid-Gas,Experimental,NIST,Authors: Resa, J. M.;Gonzalez, C.;Goenaga, J. M. Title: Density, Refractive Index, Speed of Sound at 298.15 K, and Vapor-Liquid Equilibria at 101.3 kPa for Binary Mixtures of Methanol + 2-Methyl-1-butanol and Ethanol + 2-Methyl-1-butanol Citation: J. Chem. Eng. Data,2005,50, 1570-1575,,,,,
298.15,785.2,0.4,Liquid-Gas,Experimental,NIST,Authors: Ritzoulis, G.;Fidantsi, A. Title: Relative Permittivities, Refractive Indices, and Densities for the Binary Mixtures N,N'-Dimethylacetamide with Methanol, Ethanol, 1-Butanol, and 2-Propanol at 298.15 K Citation: J. Chem. Eng. Data,2000,45, 207-209,,,
298.15,785.04,0.5,Liquid-Gas,Experimental,NIST,Authors: Sanchez-Russinyol, M. d. C.;Aucejo, A.;Loras, S. Title: Isobaric vapor liquid equilibrium for ternary mixtures of ethanol and methylcyclohexane with 3-methylpentane and tert-butyl alcohol at 101.3 kPa Citation: Fluid Phase Equilib.,2007,261, 104-110,,,,,,,,
298.15,784.92,0.24,Liquid-Gas,Experimental,NIST,Authors: Sen, D.;Kim, M.-G. Title: Excess molar volumes and molar enthalpies in the binary mixtures of {x1CH3CHClCH2Cl+x2CH3(CH2)n-1OH} (n=1 to 4) at T=298.15K Citation: Korean J. Chem. Eng.,2009,26, 806-811,,,,,,,,,
298.15,785.08,0.12,Liquid-Gas,Experimental,NIST,Authors: Tanaka, R.;Toyama, S. Title: Excess Molar Volumes and Excess Molar Heat Capacities for Binary Mixtures of Ethanol with Chlorocyclohexane, 1-Nitropropane, Dibutyl Ether, and Ethyl Acetate at the Temperature of 298.15 K Citation: J. Chem. Eng. Data,1996,41, 1455-1458,,,,,,
298.15,785.1,0.42,Liquid-Gas,Experimental,NIST,Authors: Uosaki, Y.;Hamaguchi, T.;Moriyoshi, T. Title: Excess molar volumes of (3-methyl-2-oxazolidinone + an alkan-1-ol) at 298.15 K, 313.15 K, and 328.15 K Citation: Fluid Phase Equilib.,1997,136, 299-306,,,,,,
298.15,785.1,0.2,Liquid-Gas,Experimental,NIST,Authors: Xiao, L.;Wang, Q.-l.;Wang, H.-x.;Qiu, T. Title: Isobaric vapor-liquid equilibrium data for the binary system methyl acetate + isopropyl acetate and the quaternary system methyl acetate + methanol + isopropanol + isopropyl acetate at 101.3 kPa Citation: Fluid Phase Equilib.,2013,344, 79-83,,,,,,,
298.15,785,0.6,Liquid-Gas,Experimental,NIST,Authors: Yadav, S. S.;Pande, R.;Khare, D.;Tripathi, M. Title: Volumetric and steric properties of hydroxamic acids in ethanol  at different temperatures Citation: J. Chem. Thermodyn.,2012,54, 76-82,,,,,,,
298.15,785.18,0.24,Liquid-Gas,Experimental,NIST,Authors: Zarei, H. A.;Jalili, F.;Assadi, S. Title: Temperature Dependence of the Volumetric Properties of Binary and Ternary Mixtures of Water (1) + Methanol (2) + Ethanol (3) at Ambient Pressure (81.5 kPa) Citation: J. Chem. Eng. Data,2007,52, 2517-2526,,,,,,,,
298.15,785.15,0.12,Liquid-Gas,Experimental,NIST,Authors: Zarei, H. A. Title: Excess Molar Enthalpies of Benzyl Alcohol + Alkanols (C1-C6) and Their Correlations at 298.15 K and Ambient Pressure Citation: J. Chem. Eng. Data,2010,55, 4021-4024,,,,,,,,,,
298.15,785.57,2,Liquid-Gas,Experimental,NIST,Authors: Zhang, Z.;Zhou, Q.;Lu, X.;Qiao, C.;Zhang, S. Title: Densities and Viscosities of Binary Mixtures Containing 1,3-Dimethylimidazolium Dimethylphosphate and Alcohols Citation: J. Chem. Eng. Data,2014,59, 2377-2388,,,,,
300.1352,783.42,0.81,Liquid-Gas,Experimental,NIST,Authors: Scatchard, G.;Satkiewicz, F. G. Title: Vapor-liquid equilibrium. XII. The system ethanol-cyclohexane from 5 to 65 degrees Citation: J. Am. Chem. Soc.,1964,86, 130-3,,,,,,,,,
303.134,781.536,0.667,Liquid-Gas,Experimental,NIST,Authors: Gartenmeister, R. Title: The Viscosity of Liquid Carbon Compounds and its Relationship to Chemical Consitution Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1890,6,524,,,,,,,,,
303.134,780.9,0.3,Liquid-Gas,Experimental,NIST,Authors: Weissler, A. Title: Ultrasonic investigation of molecular properties of liquids: II the alcohols Citation: J. Am. Chem. Soc.,1948,70,1634,,,,,,,,,,
303.143055,780.7,0.5,Liquid-Gas,Experimental,NIST,Authors: Khimenko, M. T.;Aleksandrov, V. V.;Gritsenko, N. N. Title: Polarizabilities and Molecular Radii of Some Pure Liquids Citation: Zh. Fiz. Khim.,1973,47,2914,,,,,,,,
303.15,781.8,0.9,Liquid-Gas,Experimental,NIST,Authors: Ali, A.;Nain, A. K.;Kamil, M. Title: Physical-chemical studies of nonaqueous binary liquid mixtures at various temperatures Citation: Thermochim. Acta,1996,274, 209-21,,,,,,,,
303.15,781.59,0.24,Liquid-Gas,Experimental,NIST,Authors: Blanco, A.;Gayol, A.;Gomez, D.;Navaza, J. M. Title: Refractive indices, excess molar volumes and isentropic compressibilities of the mixture of ethanol + n-hexane + n-nonane in function of the temperature Citation: Phys. Chem. Liq.,2013,51, 233-246,,,,,,
303.15,780.69,0.37,Liquid-Gas,Experimental,NIST,Authors: Dalai, B.;Dash, S. K.;Singh, S. K.;Swain, B. B. Title: 1H NMR and acoustic response of binary mixtures of an organophosphorous extractant with 1-alkanols (C1 C4, C8) Citation: J. Mol. Liq.,2015,208, 151-159,,,,,,
303.15,780.73,4.84,Liquid-Gas,Experimental,NIST,Authors: Djojoputro, H.;Ismadji, S. Title: Density and Viscosity for a Binary Mixture of cis-3-Hexenyl Formate, Butyl Acetate, trans-2-Hexenyl Acetate, and cis-3-Hexenyl Acetate with Ethanol at Several Temperatures Citation: J. Chem. Eng. Data,2005,50, 1009-1013,,,,,,
303.15,781.302,0.152,Liquid-Gas,Experimental,NIST,Authors: Garcia-Mardones, M.;Barros, A.;Bandres, I.;Artigas, H.;Lafuente, C. Title: Thermodynamic properties of binary mixtures combining two pyridinium-based ionic liquids and two alkanols Citation: J. Chem. Thermodyn.,2012,51, 17-24,,,,,,
303.15,781,0.2,Liquid-Gas,Experimental,NIST,Authors: Garcia-Miaja, G.;Troncoso, J.;Romani, L. Title: Excess properties for binary systems ionic liquid + ethanol: Experimental results and theoretical description using the ERAS model Citation: Fluid Phase Equilib.,2008,274, 59-67,,,,,,,,
303.15,781.15,0.47,Liquid-Gas,Experimental,NIST,Authors: Gonzalez, B.;Calvar, N.;Dominguez, A.;Tojo, J, Title: Dynamic viscosities of binary mixtures of cycloalkanes with primary alcohols at T = (293.15,298.15, and 303.15) K: New UNIFAC-VISCO interaction parameters Citation: J. Chem. Thermodyn.,2007,39, 322-334,,,,
303.15,781.333,0.239,Liquid-Gas,Experimental,NIST,Authors: Keshapolla, D.;Singh, V.;Gupta, A.;Gardas, R. L. Title: Apparent molar properties of benzyldimethylammonium based protic ionic liquids in water and ethanol at different temperatures Citation: Fluid Phase Equilib.,2015,385, 92-104,,,,,,,
303.15,780.63,0.45,Liquid-Gas,Experimental,NIST,Authors: Matkowska, D.;Golden, A.;Hofman, T. Title: Densities, Excess Volumes, Isobaric Expansivities, and Isothermal Compressibilities of the 1-Ethyl-3-methylimidazolium Ethylsulfate + Ethanol System at Temperatures (283.15 to 343.15) K and Pressures from (0.1 to 35) MPa Citation: J. Chem. Eng. Data,2010,55, 685-693,,,,,
303.15,780.6,0.8,Liquid-Gas,Experimental,NIST,Authors: Nikam, P. S.;Jagdale, B. S.;Sawant, A. B.;Hasan, M. Title: Densities and viscosities of binary mixtures of toluene with methanol, ethanol, propan-1-ol, butan-1-ol, pentan-1-ol, and 2-methylpropan-2-ol at (303.15,308.15, 313.15) K Citation: J. Chem. Eng. Data,2000,45, 559-563
303.15,781.31,0.5,Liquid-Gas,Experimental,NIST,Authors: Yang, C.;Sun, Y.;He, Y.;Ma, P. Title: Volumetric Properties and Viscosities of Binary Mixtures of N,N-Dimethylformamide with Methanol and Ethanol in the Temperature Range (293.15 to 333.15) K Citation: J. Chem. Eng. Data,2008,53, 293-297,,,,,,
303.15,780.98,0.16,Liquid-Gas,Experimental,NIST,Authors: Zhu, C.;Han, S.;Liu, J.;Ma, Y. Title: Densities and Viscosities of Diaminotoluene with Water, Ethanol, Propan-1-ol, and Butan-1-ol from (293.15 to 333.15) K Citation: J. Chem. Eng. Data,2014,59, 880-889,,,,
303.15,780.5,0.4,Liquid-Gas,Experimental,NIST,Authors: Zielkiewicz, J. Title: Excess Molar Volumes and Excess Gibbs Energies in N-Methylformamide + Water, or + Methanol, or + Ethanol at the Temperature 303.15 K Citation: J. Chem. Eng. Data,1998,43, 650-652,,,,,,,,
303.17,781.05,0.48,Liquid-Gas,Experimental,NIST,Authors: Dzida, M.;Marczak, W. Title: Thermodynamic and acoustic properties of binary mixtures of alcohols and alkanes. II. Density and heat capacity of (ethanol + n-heptane) under elevated pressures Citation: J. Chem. Thermodyn.,2005,37, 826-836,,,,,,,,,
308.15,776.41,0.17,Liquid-Gas,Experimental,NIST,Authors: Bigi, A.;Comelli, F. Title: Excess molar enthalpies of binary mixtures containing ethylene glycols or poly(ethylene glycols) + ethyl alcohol at 308.15K and atmospheric pressure Citation: Thermochim. Acta,2005,430, 191-195,,,,,,,,,
308.15,776.6,1,Liquid-Gas,Experimental,NIST,Authors: Chen, H.-W.;Wen, C.-C.;Tu, C. -H. Title: Excess Molar Volumes, Viscosities, and Refractive Indexes for Binary Mixtures of 1-Chlorobutane with Four Alcohols at T = (288.15, 298.15 and 308.15) K Citation: J. Chem. Eng. Data,2004,49, 347-351,,,,,
308.15,776.81,0.15,Liquid-Gas,Experimental,NIST,Authors: Gonzalez, B.;Gonzalez, E. J. Title: Physical properties of the pure 1-methyl-1-propylpyrrolidinium bis(trifluoromethylsulfonyl)imide ionic liquid and its binary mixtures with alcohols Citation: J. Chem. Thermodyn.,2014,68, 109-116,,,,,,,,,
308.15,776.35,0.12,Liquid-Gas,Experimental,NIST,Authors: Ivanov, E. V. Title: Volumetric properties of dilute solutions of water in ethanol and water-d2 in ethanol-d1 between T = (278.15 and 318.15) K Citation: J. Chem. Thermodyn.,2012,47, 162-170,,,,,,,,,,
308.15,776.6,0.6,Liquid-Gas,Experimental,NIST,Authors: Ku, S.-C.;Peng, I.-H.;Tu, C. -H. Title: Density and Viscosity of Mixtures of Alkoxypropanols with Ethanol at T = (298.15,308.15, and 318.15) K Citation: J. Chem. Eng. Data,2001,46, 1392-1398,,,,,,
308.15,776.51,0.318,Liquid-Gas,Experimental,NIST,Authors: Serbanovic, S. P.;Kijevcanin, M. L.;Radovic, I. R.;Djordjevic, B. D. Title: Effect of temperature on the excess molar volumes of some alcohol + aromatic mixtures and modelling by cubic EOS mixing rules Citation: Fluid Phase Equilib.,2006,239, 69-82,,,,,,,
308.15,776.31,0.24,Liquid-Gas,Experimental,NIST,Authors: Sheu, Y.-W.;Tu, C. -H. Title: Densities and Viscosities of Binary Mixtures of Isoamyl Acetate, Ethyl Caproate, Ethyl Benzoate, Isoamyl Butyrate, Ethyl Phenylacetate, and Ethyl Caprylate with Ethanol at T = (288.15,298.15,308.15, and 318.15) K Citation: J. Chem. Eng. Data,2006,51, 496-503,
308.15,776.5,0.8,Liquid-Gas,Experimental,NIST,Authors: Wang, Y.;Lian, H.-L.;Luo, T.-L.;Liu, G.-J. Title: Densities and Viscosities of (1,6-Hexanediamine + Ethanol) and (1,6-Hexanediamine + Ethanol + Water) Mixtures at T ) (303.15 to 328.15) K Citation: J. Chem. Eng. Data,2009,54, 1158-1162,,,,,
308.15,776.5,0.3,Liquid-Gas,Experimental,NIST,Authors: Ye, J.-D.;Tu, C. -H. Title: Densities and Viscosities for Binary and Ternary Mixtures of Diisopropyl Ether, Ethanol, and Methylcyclohexane Citation: J. Chem. Eng. Data,2005,50, 1060-1067,,,,,,,
310.65,775.05,0.25,Liquid-Gas,Experimental,NIST,Authors: Blanco, A.;Gayol, A.;Gomez-Diaz, D.;Navaza, J. M. Title: Thermophysical properties of the ternary mixture ethanol + n-hexane + n-octane in function of the temperature Citation: Phys. Chem. Liq.,2012,50, 798-811,,,,,,,
310.65,775.05,0.24,Liquid-Gas,Experimental,NIST,Authors: Gayol, A.;Iglesias, M.;Goenaga, J. M.;Concha, R. G.;Resa, J. M. Title: Temperature influence on solution properties of ethanol + n-alkane mixtures Citation: J. Mol. Liq.,2007,135, 105-114,,,,,,
313.13,772.22,0.4,Liquid-Gas,Experimental,NIST,Authors: De Lattre, G. Title: Density and refractive index of solutions Citation: J. Chim. Phys. Phys.-Chim. Biol.,1927,24,289,,,,,,,,,,
313.140055,772.4,1.5,Liquid-Gas,Experimental,NIST,Authors: Fukuchi, K.;Ogiwara, K.;Tashima, Y.;Yonezawa, S. Title: Measurement and Correlation of Densities for Liquids and Their Mixt. Citation: Ube Kogyo Koto Senmon Gakko Kenkyu Hokoku,1983,29,93,,,,,,,
313.15,772.64,0.24,Liquid-Gas,Experimental,NIST,Authors: Bendiaf, L.;Bahadur, I.;Negadi, A.;Naidoo, P.;Ramjugernath, D.;Negadi, L. Title: Effects of alkyl group and temperature on the interactions between furfural and alcohol: Insight from density and sound velocity studies Citation: Thermochim. Acta,2015,599, 13-22,,,,,
313.15,772,1,Liquid-Gas,Experimental,NIST,Authors: Gomez, E.;Gonzalez, B.;Calvar, N.;Tojo, E.;Dominguez, A. Title: Physical Properties of Pure 1-Ethyl-3-methylimidazolium Ethylsulfate and Its Binary Mixtures with Ethanol and Water at Several Temperatures Citation: J. Chem. Eng. Data,2006,51, 2096-2102,,,,,,
313.15,772.77,0.13,Liquid-Gas,Experimental,NIST,Authors: Gong, Y.-h.;Shen, C.;Lu, Y.-Z.;Meng, H.;Li, C.-X. Title: Viscosity and density measurement for six binary  mixtures of water (methanol or ethanol) with an ionic  liquid [BMIM][DMP] or [EMIM][DMP] at atmospheric  pressure in the temperature range of (293.15 to 333.15) K Citation: J. Chem. Eng. Data,2012,57, 33-39,,,,,,
313.15,769.469918334,10.1252283636,Liquid-Gas,Experimental,NIST,Authors: Han, C.;Xia, S.;Ma, P.;Zeng, F. Title: Densities of Ionic Liquid [BMIM][BF4] + Ethanol, + Benzene, and + Acetonitrile at Different Temperature and Pressure Citation: J. Chem. Eng. Data,2009,54, 2971-2977 (Derived),,,,,
313.15,771.8,0.6,Liquid-Gas,Experimental,NIST,Authors: Kumagai, A.;Yokoyama, C. Title: Liquid Viscosity of Binary Mixtures of Methanol with Ethanol and 1-Propanol from 273.15 to 333.15 K Citation: Int. J. Thermophys.,1998,19, 3-13,,,,,,,,,
313.15,771.83,0.23,Liquid-Gas,Experimental,NIST,Authors: Oswal, S. L.;Desai, H. S. Title: Studies of viscosity and excess molar volume of binary mixtures 3. 1-alkanol + di-n-propylamine, and + di-n-butylamine mixtures at 303.15 and 313.15 K Citation: Fluid Phase Equilib.,2001,186, 81-102,,,,,,,,
313.15,772.101,0.18,Liquid-Gas,Experimental,NIST,Authors: Sommer, D.;Kleinrahm, R.;Span, R.;Wagner, W. Title: Measurement and correlation of the (p, rho, T) relation of liquid cyclohexane, toluene, and ethanol in the temperature range from 233.15 K to 473.15 K at pressures up to 30 MPa for use as density reference liquids Citation: J. Chem. Thermodyn.,2010,43, 117-132,,,
318.15,767.9,1,Liquid-Gas,Experimental,NIST,Authors: Alvarez, E.;Cancela, A.;Maceiras, R.;Navaza, J. M.;Taboas, R. Title: Density, Viscosity, Excess Molar Volume, and Viscosity Deviation of Three Amyl Alcohols + Ethanol Binary Mixtures from 293.15 to 323.15 K Citation: J. Chem. Eng. Data,2006,51, 940-945,,,
318.15,767.62,0.15,Liquid-Gas,Experimental,NIST,Authors: Castro, M. C.;Rodriguez, H.;Arce, A.;Soto, A. Title: Mixtures of Ethanol and the Ionic Liquid 1-Ethyl-3- methylimidazolium Acetate for the Fractionated Solubility of Biopolymers of Lignocellulosic Biomass Citation: Ind. Eng. Chem. Res.,2014,53, 11850-11861,,,,,,,
318.15,767.65,0.63,Liquid-Gas,Experimental,NIST,Authors: Coquelet, C.;Valtz, A.;Richon, D.;de la Funete, J. C. Title: Volumetric properties of the boldine + alcohol mixtures at atmospheric pressure from 283.15 to 333.15K A new method for the determination of the density of pure boldine Citation: Fluid Phase Equilib.,2007,259,33,,,,,,,
318.15,768.482,30,Liquid-Gas,Experimental,NIST,Authors: Iglesias, M.;Torres, A.;Gonzalez-Olmos, R.;Salvatierra, D. Title: Effect of temperature on mixing thermodynamics of a new ionic liquid: {2-Hydroxy ethylammonium formate (2-HEAF) + short hydroxylic solvents} Citation: J. Chem. Thermodyn.,2008,40, 119-133,,,,,,,
318.15,767,0.4,Liquid-Gas,Experimental,NIST,Authors: Jiang, H.;Zhao, Y.;Wang, J.;Zhao, F.;Liu, R.;Hu, Y. Title: Density and surface tension of pure ionic liquid 1-butyl-3-methylimidazolium L-lactate and its binary mixture with alcohol and water Citation: J. Chem. Thermodyn.,2013,64, 1-13,,,,,
318.15,767.4,0.2,Liquid-Gas,Experimental,NIST,Authors: Mokhtarani, B.;Sharifi, A.;Mortaheb, H. R.;Mirzaei, M.;Mafi, M.;Sadeghian, F. Title: Density and viscosity of 1-butyl-3-methylimidazolium nitrate with ethanol, 1-propanol, or 1-butanol at several temperatures Citation: J. Chem. Thermodyn.,2009,41, 1432-1438,,,
318.15,768.48,0.16,Liquid-Gas,Experimental,NIST,Authors: Resa, J. M.;Goenaga, J. M.;Iglesias, M. Title: TEMPERATURE DEPENDENCE OF EXCESS MOLAR VOLUMES OF ETHANOL+WATER+1-PROPANOL Citation: J. Therm. Anal. Calorim.,2007,88, 549-555,,,,,,,,
319.988,765.83,0.16,Liquid-Gas,Experimental,NIST,Authors: Hales, J. L.;Ellender, J. H. Title: Liquid Densities from 293 to 490 K of Nine Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1976,8, 1177-84,,,,,,,,,
320,766.11,0.84,Liquid-Gas,Experimental,NIST,Authors: Takiguchi, Y.;Uematsu, M. Title: Densities for Liquid Ethanol in the Temperature Range from 310 K to 480 K at Pressures up to 200 MPa Citation: J. Chem. Thermodyn.,1996,28, 7-16,,,,,,,,,
323.15,763.6,0.8,Liquid-Gas,Experimental,NIST,Authors: Kurnia, K. A.;Mutalib, M. I. A.;Murugesan, T.;Ariwahjoedi, B. Title: Physicochemical Properties of Binary Mixtures of the Protic Ionic Liquid Bis(2-hydroxyethyl)methylammonium Formate with Methanol, Ethanol, and 1-Propanol Citation: J. Solution Chem.,2011,40, 818-831,,,,,
328.15,758.55,1.51,Liquid-Gas,Experimental,NIST,Authors: Gonzalez, B.;Calvar, N.;Gomez, E.;Macedo, E. A.;Dominguez, A. Title: Synthesis and Physical Properties of 1-Ethyl 3-methylpyridinium Ethylsulfate and Its Binary Mixtures with Ethanol and Water at Several Temperatures Citation: J. Chem. Eng. Data,2008,53, 1824-1828,,,,,,
328.15,758.74,50,Liquid-Gas,Experimental,NIST,Authors: Matkowska, D.;Hofman, T. Title: Volumetric properties of the ionic liquids: [C6mim][MeSO4], [C6mim][EtSO4], [C4mim][EtSO4] and their mixtures with methanol or ethanol Citation: J. Mol. Liq.,2013,177, 301-305,,,,,,,
328.15,758.6,1,Liquid-Gas,Experimental,NIST,Authors: Torcal, M.;Teruel, M. I.;Garcia, J.;Urieta, J. S.;Mainar, A. M. Title: PpT Measurements of the (Ethanol + Linalool), (Propan-1-ol + Linalool), and (Propan-2-ol + Linalool) Mixtures: Cubic and Statistical Associating Fluid Theory-Based Equation of State Analyses Citation: J. Chem. Eng. Data,2010,55, 5332-5339,,,,
328.15,758.62,0.26,Liquid-Gas,Experimental,NIST,Authors: Vercher, E.;Orchilles, A. V.;Miguel, P. J.;Martinez-Andreu, A. Title: Volumetric and Ultrasonic Studies of 1-Ethyl-3-methylimidazolium Trifluoromethanesulfonate Ionic Liquid with Methanol, Ethanol, 1-Propanol, and Water at Several Temperatures Citation: J. Chem. Eng. Data,2007,52, 1468-1482,,,,
333.124,754.7,0.4,Liquid-Gas,Experimental,NIST,Authors: Smyth, C. P.;Stoops, W. N. Title: The Dielectric Polarization of Liquids VI. Ethyl Iodide, Ethanol, Normal-Butanol and Normal-Octanol Citation: J. Am. Chem. Soc.,1929,51,3312,,,,,,,
333.134,754.01,0.75,Liquid-Gas,Experimental,NIST,Authors: Takiguchi, Y.;Uematsu, M. Title: PVT measurements of liquid ethanol in the temperature range from 310 to 363 K at pressures up to 200 MPa Citation: Int. J. Thermophys.,1995,16, 205-214,,,,,,,,,
348.143,740.206,0.151,Liquid-Gas,Experimental,NIST,Authors: Yang, F.;Wang, X.;Liu, Z. Title: Densities and Excess Molar Volumes for Binary Mixtures of Diethanolamine with Water,  Methanol, Ethanol and Ternary Solutions of Diethanolamine + Water with Methanol, Ethanol at  Atmospheric Pressure from 278.15 to 353.15 K Citation: Thermochim. Acta,2012,533,01/09/26,,,,,
373.073994971,715.7,4,Liquid-Gas,Experimental,NIST,Authors: Young, S. Title: The Internal Heat of Vaporization constants of thirty pure substances Citation: Sci. Proc. R. Dublin Soc.,1910,12, 374-443,,,,,,,,,,
420,654.24,0.71,Liquid-Gas,Experimental,NIST,Authors: Takiguchi, Y.;Uematsu, M. Title: Densities for Liquid Ethanol in the Temperature Range from 310 K to 480 K at Pressures up to 200 MPa Citation: J. Chem. Thermodyn.,1996,28, 7-16,,,,,,,,,
433.138,632.9,0.6,Liquid-Gas,Experimental,NIST,Authors: Costello, J. M.;Bowden, S. T. Title: The Temperature Variation of Orthobaric Density Difference in Liquid-Vapor Systems III. Alcohols Citation: Recl. Trav. Chim. Pays-Bas,1958,77, 36-46,,,,,,,,,
502.874376537,455,1.5,Liquid-Gas,Experimental,NIST,Authors: Efremov, Yu. V. Title: Density, Surface Tension, Saturated Vapor Pressurs and Critical Parameters of Alcohols Citation: Zh. Fiz. Khim.,1966,40,1240,,,,,,,,
512.018016545,382.5,8.7,Liquid-Gas,Experimental,NIST,Authors: Young, S. Title: The Internal Heat of Vaporization constants of thirty pure substances Citation: Sci. Proc. R. Dublin Soc.,1910,12, 374-443,,,,,,,,,,
