Temperature ( K ),vapor pressure ( kPa ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,
191.49432,0.000631948,0.0002997,Liquid-Gas,Experimental,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,,,,,
215.853872,0.0068661,0.00036,Liquid-Gas,Experimental,NIST,Authors: Milazzo, G. Title: The Measurement of Small Vapor Pressure Citation: Chem.-Ing.-Tech.,1956,28,646,,,,,,,,,,
224.91,0.0195,0.0007,Liquid-Gas,Experimental,NIST,Authors: Mokbel, I.;Rauzy, E.;Meille, J. P.;Jose, J. Title: Low vapor pressures of 12 aromatic hydrocarbons. Experimental and calculated data using a group contribution method Citation: Fluid Phase Equilib.,1998,147, 271-284,,,,,,,
235.1804,0.0523957,0.0115452,Liquid-Gas,Experimental,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,,,,,
269.6528,0.71461,0.0196251,Liquid-Gas,Experimental,NIST,Authors: Linder, E. G. Title: Vapor Pressures of Some Hydrocarbons Citation: J. Phys. Chem.,1931,35,531,,,,,,,,,,
276.059575182,1.08979,0.07999,Liquid-Gas,Experimental,NIST,Authors: Besley, L. M.;Bottomley, G. A. Title: Vapor Pressure of Toluene from 273.15 to 298.15 K Citation: J. Chem. Thermodyn.,1974,6,577,,,,,,,,,
278.147,1.29856,0.62351,Liquid-Gas,Experimental,NIST,Authors: Woringer, B. Title: Vapor Pressures of a Series of Benzene Derivatives Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1900,34,257,,,,,,,,,
281.768469,1.54009,0.08104,Liquid-Gas,Experimental,NIST,Authors: Besley, L. M.;Bottomley, G. A. Title: Vapor Pressure of Toluene from 273.15 to 298.15 K Citation: J. Chem. Thermodyn.,1974,6,577,,,,,,,,,
283.15,1.666,0.056,Liquid-Gas,Experimental,NIST,Authors: Ben-makhlouf-Hakem, H.;Ait-Kaci, A.;Jose, J. Title: Isothermal vapour pressures and excess functions of 3,5- and 2,6-dimethylpyridine with toluene measurement and prediction Citation: Fluid Phase Equilib.,2006,242,01/09/26,,,,,,
284.167749,1.76252,0.02266,Liquid-Gas,Experimental,NIST,Authors: Munday, E. B.;Mullins, J. C.;Edie, D. D. Title: Vapor pressure data for toluene, 1-pentanol, 1-butanol, water, and 1-propanol and for the water and 1-propanol system from 273.15 to 323.15 K Citation: J. Chem. Eng. Data,1980,25, 191-194,,,,
284.17,1.764,0.037,Liquid-Gas,Experimental,NIST,Authors: Mokbel, I.;Rauzy, E.;Meille, J. P.;Jose, J. Title: Low vapor pressures of 12 aromatic hydrocarbons. Experimental and calculated data using a group contribution method Citation: Fluid Phase Equilib.,1998,147, 271-284,,,,,,,
286.472002,2.03983,0.02666,Liquid-Gas,Experimental,NIST,Authors: Milazzo, G. Title: Vapor Pressure of Some Organic Substances at Lower Temperatures Citation: Ann. Chim. (Rome),1956,46,1105,,,,,,,,,,
288.526441,2.27029,0.08274,Liquid-Gas,Experimental,NIST,Authors: Besley, L. M.;Bottomley, G. A. Title: Vapor Pressure of Toluene from 273.15 to 298.15 K Citation: J. Chem. Thermodyn.,1974,6,577,,,,,,,,,
293.24,2.9255,0.0165,Liquid-Gas,Experimental,NIST,Authors: Negadi, L.;Mokbel, I.;Negadi, A.;Kaci, A. A.;Jose, J.;Gmehling, J. Title: Isothermal Vapor-Liquid Equilibria and Excess Enthalpy Data for the Binary System (Butyric Acid + Toluene) Citation: J. Chem. Eng. Data,2009,54, 2045-2048,,,,,
294.335132,3.11786,0.08471,Liquid-Gas,Experimental,NIST,Authors: Besley, L. M.;Bottomley, G. A. Title: Vapor Pressure of Toluene from 273.15 to 298.15 K Citation: J. Chem. Thermodyn.,1974,6,577,,,,,,,,,
303.23,4.894,0.019,Liquid-Gas,Experimental,NIST,Authors: Ben-makhlouf-Hakem, H.;Ait-Kaci, A.;Jose, J. Title: Isothermal vapor- liquid equilibria and excess molar enthalpy of 2-methylpyrazine (2MP) containing binary mixtures. Comparison with DISQUAC predictions Citation: Fluid Phase Equilib.,2015,397, 131-140,,,,,,,,
303.73376,5.0796,0.12,Liquid-Gas,Experimental,NIST,Authors: Kahlbaum, G. W. A. Title: Studies on Vapor Pressure Measurements: II. Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1898,26, 577-658,,,,,,,,,
309.1316,6.5728,0.1333,Liquid-Gas,Experimental,NIST,Authors: Kahlbaum, G. W. A. Title: Studies on Vapor Pressure Measurements: II. Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1898,26, 577-658,,,,,,,,,
310.631,7.02609,0.1067,Liquid-Gas,Experimental,NIST,Authors: Pitzer, K. S.;Scott, D. W. Title: The Thermodynamics and Molecular Structure of Benzene and Its Methyl Derivatives Citation: J. Am. Chem. Soc.,1943,65,803,,,,,,,,,
311.15,7.192,0.664,Liquid-Gas,Experimental,NIST,Authors: Steinhagen, V.;Sandler, S. I. Title: Vapor-Liquid Equilibria of Binary Mixtures with Ethyl tert-Butyl Ether Citation: J. Chem. Eng. Data,1994,39, 588-590,,,,,,,,,
313.140055,7.886,0.01,Liquid-Gas,Experimental,NIST,Authors: Kolasinska, G;Goral, M.;Giza, J. Title: Vapor-Liquid Equilibrium and Excess Gibbs Free Energy in Binary Systems of Acetone with Aliphatic and Aromatic Hydrocarbons Citation: Z. Phys. Chem. (Leipzig),1982,263,151,,,,,,,,
313.140055,7.9,0.058,Liquid-Gas,Experimental,NIST,Authors: Konakbaeva, E. G.;Anisimova, Z. K.;Shakhparonov, M. I. Title: High-precision measurements of the vapour pressures of binary nonelectrolyt solutions Citation: Vestn. Mosk. Univ., Ser. 2: Khim.,1974,29,30,,,,,,,
313.140055,7.893,0.084,Liquid-Gas,Experimental,NIST,Authors: Oracz, P. Citation: Int. DATA Ser., Sel. Data Mixtures, Ser. A,1989, , 232-306,,,,,,,,
313.15,7.889,0.041,Liquid-Gas,Experimental,NIST,Authors: Alonso-Tristan, C.;Segovia, J. J.;Chamorro, C. R.;Villamanan, M. A. Title: Experimental investigation of the vapour-liquid equilibrium of binary and ternary mixtures containing dibutyl ether (DBE), cyclohexane and toluene at 313.15 K Citation: Fluid Phase Equilib.,2006,245, 57-62,,,,,,
313.15,7.876,0.041,Liquid-Gas,Experimental,NIST,Authors: Belabbaci, A.;Villamanan, R. M.;Negadi, L.;Martin, M. C. Title: Vapor Liquid Equilibria of Binary Mixtures Containing 2-Butanol and Hydrocarbons at 313.15 K Citation: J. Chem. Eng. Data,2012,57, 982-987,,,,,,,
313.15,7.926,0.06095,Liquid-Gas,Experimental,NIST,Authors: Gardeler, H.;Horstmann, S.;Tsuboi, A.;Toba, S.;Rarey, J.;Gmehling, J. Title: Vapor-liquid equilibria at six temperatures from 313.15 K to 402.15 K and excess enthalpy data at 363.15 K and 1.65 MPa for the system toluene + 2,2,4-trimethylpentane (isooctane) Citation: ELDATA: The International Electronic Journal of Physico-Chemical Data,1998,4,01/09/26,,,
313.19004,7.92,0.02,Liquid-Gas,Experimental,NIST,Authors: Bittrich, H.-J.;Meske, A.;Rodrigues, L. F. T. G. Title: Vapor liquid equilibria of binary mixtures with N-methyl-.epsilon.-caprolactam Citation: Fluid Phase Equilib.,1989,49,137,,,,,,,,
313.22,7.8741,0.0373,Liquid-Gas,Experimental,NIST,Authors: Negadi, L.;Mokbel, I.;Negadi, A.;Kaci, A. A.;Jose, J.;Gmehling, J. Title: Isothermal Vapor-Liquid Equilibria and Excess Enthalpy Data for the Binary System (Butyric Acid + Toluene) Citation: J. Chem. Eng. Data,2009,54, 2045-2048,,,,,
313.809854,8.13133,0.04533,Liquid-Gas,Experimental,NIST,Authors: Li, I. P. C.;Wong, Y. W.;Chang, S.-D.;Lu, B. C.-Y. Title: Vapor-Liquid Equilibria in Systems n-Hexane-Benzene and n-Pentane-Toluene Citation: J. Chem. Eng. Data,1972,17,492,,,,,,,
315.52928,9.99918,4.06293,Liquid-Gas,Experimental,NIST,Authors: Kahlbaum, G. W. A. Title: The dependence of Boiling Temperature on Air Pressure Citation: Ber. Dtsch. Chem. Ges.,1884,17,1245,,,,,,,,,,
317.52868,9.6259,0.16,Liquid-Gas,Experimental,NIST,Authors: Kahlbaum, G. W. A. Title: Studies on Vapor Pressure Measurements: II. Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1898,26, 577-658,,,,,,,,,
318.1285,9.889987,0.2966423,Liquid-Gas,Experimental,NIST,Authors: Orye, R. V.;Prausnitz, J. M. Title: Thermodynamic PRoperties of Some Binary Solutions COntaining Hydrocarbons and Polar Organic Solvents Citation: Trans. Faraday Soc.,1965,61,1338,,,,,,,,,
318.1285,10.0392,0.7872,Liquid-Gas,Experimental,NIST,Authors: Woringer, B. Title: Vapor Pressures of a Series of Benzene Derivatives Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1900,34,257,,,,,,,,,
318.138555,9.878,0.012,Liquid-Gas,Experimental,NIST,Authors: Diaz Pena, M.;Crespo Colin, A.;Compostizo, A. Citation: J. Chem. Thermodyn.,1978,10,337,,,,,,,,
319.1252009,10.32848,0.131989,Liquid-Gas,Experimental,NIST,Authors: Forziati, A. F.;Norris, W. R.;Rossini, F. D. Title: Vapor Pressures and Boiling Points of Sixty API-NBS Hydrocarbons Citation: J. Res. Natl. Bur. Stand. (U. S.),1949,43,555,,,,,,,,
321.9943399,11.699,0.008,Liquid-Gas,Experimental,NIST,Authors: Willingham, C. B.;Taylor, W. J.;Pignocco, J. M.;Rossini, F. D. Title: Vapor Pressures and Boiling Points of Some Paraffin, Alkylcyclopentane, Alkylcyclohexane and Alkylbenzene Hydrocarbons Citation: J. Res. Natl. Bur. Stand. (U. S.),1945,35,219,,,,,
323.127,12.9323,2.6131,Liquid-Gas,Experimental,NIST,Authors: Schmidt, G. C. Title: Binary mixtures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1926,121, 221-53,,,,,,,,,
323.137055,12.28032,0.34797,Liquid-Gas,Experimental,NIST,Authors: Radnai, G.;Bottini, S.;Rasmussen, P.;Fredenslund, A. Title: Vapor-liquid equilibrium for binary systems with alkyl bromides Citation: AIChE Symp. Ser.,1985,81, 102-120,,,,,,,
323.15,12.28,1.23,Liquid-Gas,Experimental,NIST,Authors: Dahmani, 0.;Linek, J. Title: Excess volumes of some binary mixtures containing 1-chlorobutane, 2-chlorobutane, 2-chloro-2-methylpropane, heptane, toluene or methylcyclohexane at 298.15 K Citation: ELDATA: The International Electronic Journal of Physico-Chemical Data,1996,2, 175-184,,,,,
323.15,12.212,0,Liquid-Gas,Experimental,NIST,Authors: Graczova, E.;Surovy, J. Citation: Chem. Pap.,1999,53,428,,,,,,,,,
323.15,12.363,0.1376,Liquid-Gas,Experimental,NIST,Authors: He, W.;Zheng, D.;Wu, X.;Zhu, C.;Jing, S. Title: Isothermal Vapor-Liquid Equilibrium Data of Ethylene-Toluene Binary System Citation: Petrochemical Technology,2007, 36(4), 4;362,,,,,,
323.15,12.309,0.032,Liquid-Gas,Experimental,NIST,Authors: Nicolae, M.;Oprea, F. Title: Vapor-liquid equilibrium for the binary mixtures of dipropylene glycol with aromatic hydrocarbons: Experimental and regression Citation: Fluid Phase Equilib.,2014,370, 34-42,,,,,,,,,
324.21,13.4,1.3,Liquid-Gas,Experimental,NIST,Authors: Parker, A.;Babas, R. Title: Thermogravimetric measurement of evaporation: Data analysis based on the Stefan tube Citation: Thermochim. Acta,2014,595, 67-73,,,,,,,,,
328.1255,15.199,0,Liquid-Gas,Experimental,NIST,Authors: Schmoll, K.;Jenckel, E. Title: The Vapor Pressure of Polystyrene Solutions in Toluene and Cyclohexane in the entire range of concentration Citation: Z. Elektrochem.,1956,60,756,,,,,,,,,
330.13497,16.46,0.09,Liquid-Gas,Experimental,NIST,Authors: Naumann, D.;Wagner, H. G. Title: Vapour-liquid equilibria of several mixtures containing 2-butanone, 2-butenal, ethoxyethanol, and toluene at 330.15K Citation: J. Chem. Thermodyn.,1986,18,81,,,,,,
330.83483,16.90794,0.08533,Liquid-Gas,Experimental,NIST,Authors: Macedo, E. A.;Mendonca, J. M.;Medina, A. G. Title: Vapor-liquid equilibrium for the systems ethyl formate + methyl ethyl ketone, ethyl formate + toluene and ethyl formate + methyl ethyl ketone + toluene: new unifac parameters for interactions between Citation: Fluid Phase Equilib.,1984,18, 197-210,,,,,,,
332.9844,18.52514,0.14799,Liquid-Gas,Experimental,NIST,Authors: Liu, Y.;Xie, R.;Fan, Z.;Yan, J. Title: Studies on the VLE of N-Heptane-Methylbenzene Citation: Chemical Engineering (China),1983, No. 6, 42-50,,,,,,,
333.13437,18.521,0.039,Liquid-Gas,Experimental,NIST,Authors: Jose, J.;Michou-Saucet, C.;Michou-Saucet, M.-A. Citation: Int. DATA Ser., Sel. Data Mixtures, Ser. A,1988, , 37-42,,,,,,
333.13437,18.539,0.036,Liquid-Gas,Experimental,NIST,Authors: Kassmann, K. D.;Knapp, H. Title: Vapor-liquid equilibria for binary and ternary mixtures of benzene, toluene and n-butyraldehyde Citation: Ber. Bunsen-Ges. Phys. Chem.,1986,90,452,,,,,,,,
333.15,18.44,0,Liquid-Gas,Experimental,NIST,Authors: Barhala, A.;Teodorescu, M.;Crisciu, A. V.;Marchidan, D. I. Citation: Rev. Roum. Chim.,1996,41,515,,,,,,,
336.624,21.62,1.3,Liquid-Gas,Experimental,NIST,Authors: Neubeck, F. Title: Molecular Volumes of Aromatic Compounds Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1887,1, 649-666,,,,,,,,,
338.13337,22.5048,0.0267,Liquid-Gas,Experimental,NIST,Authors: Wang, J. L. H.;Boublikova, L.;Lu, B. C.-Y. Title: Vapour-liquid equilibria of the carbon tetrachloride-toluene system Citation: J. Appl. Chem.,1970,20,172,,,,,,,,
340.914,25.023,0.007,Liquid-Gas,Experimental,NIST,Authors: Chirico, R. D.;Steele, W. V. Title: Reconciliation of Calorimetrically and Spectroscopically Derived Methyl Benzene. The Importance of the Third Virial Coefficient Citation: Ind. Eng. Chem. Res.,1994,33, 157-67,,,,,,,,,
342.65,26.66,0.69,Liquid-Gas,Experimental,NIST,Authors: Kirss, H.;Kuus, M.;Siimer, E. Title: Isobaric Vapor-Liquid Equilibria of the Ternary System Toluene + Ethylbenzene + Amyl Acetate Citation: J. Chem. Eng. Data,2004,49, 465-467,,,,,,,,
342.704,26.7978,0.1137,Liquid-Gas,Experimental,NIST,Authors: Dreyer, R.;Martin, W.;Von Weber, U. Title: The Vapor Pressures of Benzene, Toluene, Ethylbenzene, Styrene, Cumene, and Bromobenzene Between 10 and 760 Millimeters Citation: J. Prakt. Chem.,1955,1,324,,,
343.098,27.1,0.079,Liquid-Gas,Experimental,NIST,Authors: Michou-Saucet, M.-A.;Jose, J.;Michou-Saucet, C. Title: Isothermal liquid-vapor equilibrium in the systems hexamethylphosphorotriamide-benzene and hexamethylphosphorotriamide-toluene Citation: Thermochim. Acta,1990,158,247,,,,,,,,
346.38,30.63,0.33,Liquid-Gas,Experimental,NIST,Authors: Reich, R.;Cartes, M.;Wisniak, J.;Segura, H. Title: Phase Equilibria in the System Methyl 1,1-Dimethylethyl Ether + Benzene + Toluene Citation: J. Chem. Eng. Data,1998,43, 299-303,,,,,,
348.130555,32.664,0.111058,Liquid-Gas,Experimental,NIST,Authors: Guzman, J.;Teja, A. S.;Kay, W. B. Title: Vapor-liquid equilibria in binary mixtures formed from hexamethyldisiloxane, toluene and ethanol. Citation: Fluid Phase Equilib.,1981,7, 187-95,,,,,,,
348.253487,32.770638,0.328773,Liquid-Gas,Experimental,NIST,Authors: Naccari, A.;Pagliani, S. Title: On the Maximum Pressure of Vapors of some liquids and the thermic dilatatio n of these Citation: Atti accad. sci. Torino, Classe sci. fis., mat. nat.,1881,16,407,,,,,,,
351.7954552,37.02495,0.186651,Liquid-Gas,Experimental,NIST,Authors: Kraus, J.;Linek, J. Title: Liquid-vapor equilibrium. XLVIII. The systems acetone-benzene, acetone-toluene, benzene-methyl ethyl ketone, methyl ethyl ketone-toluene and methyl ethyl ketone-ethylbenzene Citation: Collect. Czech. Chem. Commun.,1971,36,2547,,,,,,
353.129055,38.825,10.034,Liquid-Gas,Experimental,NIST,Authors: Akhundov, T. S.;Abdullaev, F. G. Title: Thermal properties of benzene and toluene at the saturation Citation: Izv. Vyssh. Uchebn. Zaved., Neft Gaz,1977,7, 64-68,,,,,,,,
353.15,38.914,0.108,Liquid-Gas,Experimental,NIST,Authors: Horstman, S.;Gardeler, H.;Bolts, R.;Gmehling, J. Title: Vapor-Liquid Equilibria and Excess Enthalpy Data for the Binary Systems Benzene + Benzonitrile and Toluene + Benzonitrile Covering the Temperature Range from 323.15 to 413.15 K Citation: J. Chem. Eng. Data,1999,44, 539-543,,,,,,,
353.15,38.8414,0.2044,Liquid-Gas,Experimental,NIST,Authors: Negadi, L.;Mokbel, I.;Negadi, A.;Kaci, A. A.;Jose, J.;Gmehling, J. Title: Isothermal Vapor-Liquid Equilibria and Excess Enthalpy Data for the Binary System (Butyric Acid + Toluene) Citation: J. Chem. Eng. Data,2009,54, 2045-2048,,,,,
354.003,39.8501,0.3323,Liquid-Gas,Experimental,NIST,Authors: Schouteden, F.;Deveux, J. Title: Vapor Pressures of Ethanol and Toluene as a Meas. of Their Purity Citation: Natuurwet. Tijdschr. (Ghent),1936,18,242,,,,,,,,,
356.353,43.3591,0.23598,Liquid-Gas,Experimental,NIST,Authors: Forziati, A. F.;Norris, W. R.;Rossini, F. D. Title: Vapor Pressures and Boiling Points of Sixty API-NBS Hydrocarbons Citation: J. Res. Natl. Bur. Stand. (U. S.),1949,43,555,,,,,,,,
356.65,43.67,0.58,Liquid-Gas,Experimental,NIST,Authors: Hidouche, M.;Dahmani, O. Title: Isobaric vapor liquid equilibria for binary systems of butyl chlorides with heptane, toluene and cyclohexane at 101.3, 80.0 and 53.3 kPa Citation: Fluid Phase Equilib.,2006,243,01/08/26,,,,,,,
356.84,44.23,0.37,Liquid-Gas,Experimental,NIST,Authors: Erlin, S.;Zaytseva, A.;Uusi-Kyyny, P.;Younghun, K.;Keskinen, K. I.;Aittamaa, J. Title: Vapor-Liquid Equilibrium for Binary System of 1-Propanethiol, Thiophene, and Diethyl Sulfide with Toluene at 90.03 kPa Citation: J. Chem. Eng. Data,2006,51, 1372-1376,,,
358.972,47.3428,0.07787,Liquid-Gas,Experimental,NIST,Authors: Zmaczynski, A. L. Title: Ebullioscopic Research and Pressure Comparisons of 8 Standard Organic Substances Citation: J. Chim. Phys. Phys.-Chim. Biol.,1930,27,401,,,,,,,,,,
360.7,49.6,3.85,Liquid-Gas,Experimental,NIST,Authors: Siitsman, C.;Kamenev, I.;Oja, V. Title: Vapor pressure data of nicotine, anabasine and cotinine using differential scanning calorimetry Citation: Thermochim. Acta,2014,595, 35-42,,,,,,,
362.79,53.6528,0.02,Liquid-Gas,Experimental,NIST,Authors: Willingham, C. B.;Taylor, W. J.;Pignocco, J. M.;Rossini, F. D. Title: Vapor Pressures and Boiling Points of Some Paraffin, Alkylcyclopentane, Alkylcyclohexane and Alkylbenzene Hydrocarbons Citation: J. Res. Natl. Bur. Stand. (U. S.),1945,35,219,,,,,
363.15,54.22,0.39,Liquid-Gas,Experimental,NIST,Authors: Grenner, A.;Klauck, M.;Schmelzer, J. Title: An equipment for dynamic measurements of vapour liquid equilibria and results in binary systems containing cyclohexylamine Citation: Fluid Phase Equilib.,2005,233, 170-175,,,,,,,,
363.353023,54.675637,0.504092,Liquid-Gas,Experimental,NIST,Authors: Naccari, A.;Pagliani, S. Title: On the Maximum Pressure of Vapors of some liquids and the thermic dilatatio n of these Citation: Atti accad. sci. Torino, Classe sci. fis., mat. nat.,1881,16,407,,,,,,,
363.95,55.744,1.12,Liquid-Gas,Experimental,NIST,Authors: Mokbel, I.;Rauzy, E.;Meille, J. P.;Jose, J. Title: Low vapor pressures of 12 aromatic hydrocarbons. Experimental and calculated data using a group contribution method Citation: Fluid Phase Equilib.,1998,147, 271-284,,,,,,,
368.9,65.25,0.2,Liquid-Gas,Experimental,NIST,Authors: Martinez-Soria, V.;Pena, M. P.;Monton, J. B. Title: Vapor-Liquid Equilibria for the Binary Systems tert-Butyl Alcohol + Toluene, + Isooctane, and + Methylcyclohexane at 101.3 kPa Citation: J. Chem. Eng. Data,1999,44, 148-151,,,,,,
369.59,66.66,0.35,Liquid-Gas,Experimental,NIST,Authors: Uno, S.;Kikkawa, S.;Matsuda, H.;Kurihara, K.;Tochigi, K.;Ochi, K. Title: Measurement of Vapor-Liquid Equilibria for Binary Systems Using a Hold-Up Compensable Ebulliometer Citation: J. Chem. Eng. Jpn.,2007,40, 288-294,,,,,
